signal_code,market_date,direction,triggered,status,entry_timestamp,entry_price,exit_timestamp,exit_price,exit_reason,return_pct,mfe_pct,mae_pct,benchmark,benchmark_directional_return_pct,directional_excess_vs_benchmark_pct,source_revision,source_hash
GDX_CALL_BUY_SHARE_SURGE,2025-10-31,LONG,True,FINAL,2025-11-03T07:30:00-05:00,71.99,2025-11-07T16:00:00-05:00,72.52,D5_REGULAR_SESSION_CLOSE,0.73621336,1.01402973,-5.47298236,SPY,-1.94098131,2.67719467,47495252838dafaa1ee1181e8ef740eecf044ccc6813bc1d823248997bd606f1,e99e485f5feb319e4e1dcd31dcd50e85c192c7850189aef9c9441e6b7881bc50
GDX_CALL_BUY_SHARE_SURGE,2025-11-07,LONG,True,FINAL,2025-11-10T07:30:00-05:00,75.36,2025-11-14T16:00:00-05:00,76.16,D5_REGULAR_SESSION_CLOSE,1.06157113,7.28503185,-3.25106157,SPY,-0.73860699,1.80017811,237df9f693ca07b7ad1a02c7eecb6c4e289ab9be151d77d92209a90c4795454e,e99e485f5feb319e4e1dcd31dcd50e85c192c7850189aef9c9441e6b7881bc50
GDX_CALL_BUY_SHARE_SURGE,2025-11-14,LONG,True,FINAL,2025-11-17T07:30:00-05:00,76.29,2025-11-21T16:00:00-05:00,73.67,D5_REGULAR_SESSION_CLOSE,-3.43426399,2.47738891,-6.18691834,SPY,-2.00731555,-1.42694844,dfcbeb74f89e79d17d08ae1716abc46512c6626c028744ebdbd7559966058d7c,e99e485f5feb319e4e1dcd31dcd50e85c192c7850189aef9c9441e6b7881bc50
GDX_CALL_BUY_SHARE_SURGE,2025-12-17,LONG,True,FINAL,2025-12-18T07:30:00-05:00,85.01,2025-12-24T16:00:00-05:00,89.86,D5_REGULAR_SESSION_CLOSE,5.70521115,7.4461828,-0.25879308,SPY,2.30450966,3.40070149,4dad966ea134b556820fca8c840a89e40a40c838c3651df3df3b5c6b3f72bc08,e99e485f5feb319e4e1dcd31dcd50e85c192c7850189aef9c9441e6b7881bc50
GDX_CALL_BUY_SHARE_SURGE,2025-12-26,LONG,True,FINAL,2025-12-29T07:30:00-05:00,88.84,2026-01-05T16:00:00-05:00,88.45,D5_REGULAR_SESSION_CLOSE,-0.43899145,2.20621342,-6.3147231,SPY,-0.14374492,-0.29524653,e7628c845f2279150357b8475dcc1e66131809e95df30d2abb554b16e54741ef,e99e485f5feb319e4e1dcd31dcd50e85c192c7850189aef9c9441e6b7881bc50
GDX_CALL_BUY_SHARE_SURGE,2026-01-09,LONG,True,FINAL,2026-01-12T07:30:00-05:00,95.3,2026-01-16T16:00:00-05:00,97.2,D5_REGULAR_SESSION_CLOSE,1.99370409,3.6726128,-0.95487933,SPY,0.17962164,1.81408246,c49bca3a06258b9eaa673883940c1f82b16b66cd09ef591bb011d7cdeb278cd4,e99e485f5feb319e4e1dcd31dcd50e85c192c7850189aef9c9441e6b7881bc50
GDX_CALL_BUY_SHARE_SURGE,2026-01-15,LONG,True,FINAL,2026-01-16T07:30:00-05:00,97.19,2026-01-23T16:00:00-05:00,106.98,D5_REGULAR_SESSION_CLOSE,10.07305278,10.73155674,-2.82950921,SPY,-0.59999423,10.67304701,43fe59cf941163f1a48db7ef7b984c4b2dd7a1468c06e10246ea52f1f3f5f06e,e99e485f5feb319e4e1dcd31dcd50e85c192c7850189aef9c9441e6b7881bc50
GDX_CALL_BUY_SHARE_SURGE,2026-01-16,LONG,True,FINAL,2026-01-20T07:30:00-05:00,101.54,2026-01-26T16:00:00-05:00,107.5,D5_REGULAR_SESSION_CLOSE,5.86960804,10.83316919,-1.11286193,SPY,1.59868585,4.27092219,431c356e401a17fac7f5a28346f06cf1c62d4e30828d1fb0acdad428f6103b3c,e99e485f5feb319e4e1dcd31dcd50e85c192c7850189aef9c9441e6b7881bc50
GDX_CALL_BUY_SHARE_SURGE,2026-01-22,LONG,True,FINAL,2026-01-23T07:30:00-05:00,105.55,2026-01-29T16:00:00-05:00,107.86,D5_REGULAR_SESSION_CLOSE,2.18853624,9.05731881,-1.58218854,SPY,0.8105988,1.37793744,db5c30c127a1f5730bdd1af3256855f7ca1bcf1e0a530d8d36912e3b2a855da4,e99e485f5feb319e4e1dcd31dcd50e85c192c7850189aef9c9441e6b7881bc50
GDX_CALL_BUY_SHARE_SURGE,2026-01-28,LONG,True,FINAL,2026-01-29T07:30:00-05:00,113.68,2026-02-04T16:00:00-05:00,98.68,D5_REGULAR_SESSION_CLOSE,-13.19493315,1.25791696,-23.11752287,SPY,-1.56944883,-11.62548432,4e77aae5688fdf30b96c8c1b4a9ad1d68cc6e40735c151c8db0117092c5494bc,e99e485f5feb319e4e1dcd31dcd50e85c192c7850189aef9c9441e6b7881bc50
GDX_CALL_BUY_SHARE_SURGE,2026-02-13,LONG,True,FINAL,2026-02-17T07:30:00-05:00,100.93,2026-02-23T16:00:00-05:00,110.27,D5_REGULAR_SESSION_CLOSE,9.25393837,9.52145051,-3.48756564,SPY,0.44303797,8.8109004,67df293990ed2ff41442d994a991baea66d5143bfd4cff8a7da54d576ed31f8c,e99e485f5feb319e4e1dcd31dcd50e85c192c7850189aef9c9441e6b7881bc50
GDX_CALL_BUY_SHARE_SURGE,2026-02-18,LONG,True,FINAL,2026-02-19T07:30:00-05:00,102.53,2026-02-25T16:00:00-05:00,111.16,D5_REGULAR_SESSION_CLOSE,8.41704867,10.36769726,-1.3849605,SPY,1.17514817,7.2419005,2baecc02e89c2f63662972bbdb6acbf1979aa4c74519d44f3404a3838e4d0285,e99e485f5feb319e4e1dcd31dcd50e85c192c7850189aef9c9441e6b7881bc50
GDX_CALL_BUY_SHARE_SURGE,2026-02-20,LONG,True,FINAL,2026-02-23T07:30:00-05:00,107.45,2026-02-27T16:00:00-05:00,115.87,D5_REGULAR_SESSION_CLOSE,7.83620289,7.94788274,-0.91205212,SPY,0.020404,7.81579889,0cc41c319537e0248ea0392305789a38097d05b7029f37f06c088cd5a99d2a08,e99e485f5feb319e4e1dcd31dcd50e85c192c7850189aef9c9441e6b7881bc50
GDX_CALL_BUY_SHARE_SURGE,2026-02-26,LONG,True,FINAL,2026-02-27T07:30:00-05:00,113.76,2026-03-05T16:00:00-05:00,101.53,D5_REGULAR_SESSION_CLOSE,-10.75070323,5.70499297,-12.50879044,SPY,-0.73128806,-10.01941518,c85f07dc2e87c069a20b96ea4c9af56b255f52dc44de8bad5eb37b99f61d9fe4,e99e485f5feb319e4e1dcd31dcd50e85c192c7850189aef9c9441e6b7881bc50
GDX_CALL_BUY_SHARE_SURGE,2026-03-18,LONG,True,FINAL,2026-03-19T07:30:00-04:00,82.33,2026-03-25T16:00:00-04:00,86.3,D5_REGULAR_SESSION_CLOSE,4.82205757,7.95578768,-10.90732418,SPY,-0.46679397,5.28885155,0717b93797ec1937df5e3f9b9209fec1ccbfe1817dd4025ef1a31a70df444a5c,e99e485f5feb319e4e1dcd31dcd50e85c192c7850189aef9c9441e6b7881bc50
GDX_CALL_BUY_SHARE_SURGE,2026-03-24,LONG,True,FINAL,2026-03-25T07:30:00-04:00,88.76,2026-03-31T16:00:00-04:00,91.75,D5_REGULAR_SESSION_CLOSE,3.36863452,3.40243353,-7.5033799,SPY,-1.38166376,4.75029828,2b2f8e5acb21b9ed9eda0d342ee5b2c7549452dc636d271d9e56becdd8b4f66e,e99e485f5feb319e4e1dcd31dcd50e85c192c7850189aef9c9441e6b7881bc50
GDX_CALL_BUY_SHARE_SURGE,2026-03-27,LONG,True,FINAL,2026-03-30T07:30:00-04:00,87.18,2026-04-06T16:00:00-04:00,93.85,D5_REGULAR_SESSION_CLOSE,7.65083735,12.07845836,-2.81027759,SPY,3.09663892,4.55419843,5cbe35ab6ef1e8af7c075f41e2107deb2438bfea2fd71293ab67450e9cc67bb4,e99e485f5feb319e4e1dcd31dcd50e85c192c7850189aef9c9441e6b7881bc50
GDX_CALL_BUY_SHARE_SURGE,2026-04-01,LONG,True,FINAL,2026-04-02T07:30:00-04:00,90.4,2026-04-09T16:00:00-04:00,98.34,D5_REGULAR_SESSION_CLOSE,8.78318584,12.46681416,-0.5420354,SPY,5.32773552,3.45545032,190de8f3361cb65f8c5fd388010e9f494db0c7de2e0a120f59932a1c16c05dbe,e99e485f5feb319e4e1dcd31dcd50e85c192c7850189aef9c9441e6b7881bc50
