signal_code,market_date,direction,triggered,resolved,entry_timestamp,entry_price,exit_timestamp,exit_price,exit_reason,return_pct,source_revision,source_hash,feature__Price_SMA20,feature__Price_SMA50,feature__BuyCall_GEXDeltaPerc_Rank60
BABA_BULL_TREND_WEAK_CALL_EXHAUSTION,2025-11-12,SHORT,True,True,2025-11-13T07:30:00-05:00,164.55,2025-11-19T16:00:00-05:00,158.89,D5_CLOSE,3.4396839866302154,58c5fb8a07d586a4bf3fde32b42cdcd0bcec14814275fcb377f7ce2308ee89ff,5093e7cce91082a8c5dc23fb3e0801953669b9860437ad33042e9b435ea8d66e,168.629,166.2386,0.6833333333333333
BABA_BULL_TREND_WEAK_CALL_EXHAUSTION,2025-11-13,SHORT,True,True,2025-11-14T07:30:00-05:00,157.2,2025-11-20T16:00:00-05:00,153.28,D5_CLOSE,2.4936386768447782,702a77d67aa8c7b5d60afda9031048038d8d49f1eabb2a9a985ebe83074472a0,5093e7cce91082a8c5dc23fb3e0801953669b9860437ad33042e9b435ea8d66e,168.3255,166.7064,0.08333333333333333
BABA_BULL_TREND_WEAK_CALL_EXHAUSTION,2025-11-14,SHORT,True,True,2025-11-17T07:30:00-05:00,157.6,2025-11-21T16:00:00-05:00,152.93,D5_CLOSE,2.963197969543141,7916616643262cbb53324727bfd93fb2bd76cb020eb39940ac34a2f3bcb905dd,5093e7cce91082a8c5dc23fb3e0801953669b9860437ad33042e9b435ea8d66e,167.761,167.164,0.3
BABA_BULL_TREND_WEAK_CALL_EXHAUSTION,2026-01-26,SHORT,True,True,2026-01-27T07:30:00-05:00,174.42,2026-02-02T16:00:00-05:00,168.39,D5_CLOSE,3.457172342621262,538da0182fdb14163297bf3bf7213982fac391df0baf065fedfc16847a2700c1,5093e7cce91082a8c5dc23fb3e0801953669b9860437ad33042e9b435ea8d66e,160.107,158.324897,0.423728813559322
BABA_BULL_TREND_WEAK_CALL_EXHAUSTION,2026-01-27,SHORT,True,True,2026-01-28T07:30:00-05:00,176.69,2026-02-03T16:00:00-05:00,163.64,D5_CLOSE,7.3858169675703245,5b6abf3bedcaac3df1b4f96ef1de6f0d7357c38f9486ad889915ef4fee1b461c,5093e7cce91082a8c5dc23fb3e0801953669b9860437ad33042e9b435ea8d66e,161.131,158.496734,0.22033898305084745
BABA_BULL_TREND_WEAK_CALL_EXHAUSTION,2026-01-28,SHORT,True,True,2026-01-29T07:30:00-05:00,176.77,2026-02-04T16:00:00-05:00,159.14,D5_CLOSE,9.97341177801665,4fc150c3d53a97e2b08e429d716317a854a3a90842bf05b9909a0b4c2fae3712,5093e7cce91082a8c5dc23fb3e0801953669b9860437ad33042e9b435ea8d66e,162.4895,158.717959,0.5084745762711864
BABA_BULL_TREND_WEAK_CALL_EXHAUSTION,2026-01-29,SHORT,True,True,2026-01-30T07:30:00-05:00,173.5,2026-02-05T16:00:00-05:00,157.73,D5_CLOSE,9.089337175792512,7681616156c053bcccf66ecba55dce664df50c6316586ebce4ed5601d49b0b30,5093e7cce91082a8c5dc23fb3e0801953669b9860437ad33042e9b435ea8d66e,163.834,158.853469,0.06779661016949153
BABA_BULL_TREND_WEAK_CALL_EXHAUSTION,2026-01-30,SHORT,True,True,2026-02-02T07:30:00-05:00,168.36,2026-02-06T16:00:00-05:00,162.48,D5_CLOSE,3.4925160370634534,59e4fe99a80d9ebe410c24db55e4a5ffc64e44aa8a555a854afef019b796a091,5093e7cce91082a8c5dc23fb3e0801953669b9860437ad33042e9b435ea8d66e,164.983,158.919183,0.559322033898305
BABA_BULL_TREND_WEAK_CALL_EXHAUSTION,2026-02-02,SHORT,True,True,2026-02-03T07:30:00-05:00,164.59,2026-02-09T16:00:00-05:00,162.97,D5_CLOSE,0.9842639285497334,852c84316f9349d1a2471d7b417436517312d8faca6735df5d82a724326376dc,5093e7cce91082a8c5dc23fb3e0801953669b9860437ad33042e9b435ea8d66e,165.6155,158.970204,0.6610169491525424
BABA_BULL_TREND_WEAK_CALL_EXHAUSTION,2026-02-05,SHORT,True,True,2026-02-06T07:30:00-05:00,160.57,2026-02-12T16:00:00-05:00,158.65,D5_CLOSE,1.1957401756243269,5b6c08db1943b1d863606839dddc59f2692a60146f6cd9b72c282d12022dcc0a,5093e7cce91082a8c5dc23fb3e0801953669b9860437ad33042e9b435ea8d66e,166.9475,159.01102,0.7796610169491526
