Token	ObservationDate	HoldValue	TradeValue	ASXCode	AvgHoldValue	MAAvgHoldKey	MAAvgHoldValue
SILVER	2/09/2016	132314.9	1182502.8	8	16539.3625	SM0	132314.9
STEM CELLS THERAPEUTICS	2/09/2016	53909.12	1263757	1	53909.12	SM0	53909.12
TIN	2/09/2016	166627.605	170170.3	7	23803.94357	SM0	166627.605
URANIUM	2/09/2016	108901.252	1252007	19	5731.644842	SM0	108901.252
VANADIUM	2/09/2016	101618.344	110371.6	3	33872.78133	SM0	101618.344
ZINC	2/09/2016	139148.741	549509.8	17	8185.220058	SM0	139148.741
BAUXITE	5/09/2016	168277.29	124558.8	4	42069.3225	SM0	168277.29
BIO TECHNOLOGY	5/09/2016	133793.879	1157787.7	24	5574.744958	SM0	133793.879
BIOTECH	5/09/2016	68000	40868	1	68000	SM0	68000
COBALT	5/09/2016	183430.006	552173.7	12	15285.83383	SM0	183430.006
COKING COAL	5/09/2016	190248.585	221395.7	5	38049.717	SM0	190248.585
COPPER	5/09/2016	128095.647	3160845.9	23	5569.375956	SM0	128095.647
DIGITAL HEALTHCARE	5/09/2016	132745.018	1721982.3	2	66372.509	SM0	132745.018
FINANCIAL TECHNOLOGY	5/09/2016	96932.777	3383042.9	12	8077.731416	SM0	96932.777
GOLD	5/09/2016	156386.687	2117488.5	24	6516.111958	SM0	156386.687
GRAPHENE	5/09/2016	99999.753	61866.6	2	49999.8765	SM0	99999.753
GRAPHITE	5/09/2016	153024.439	6172709.9	23	6653.236478	SM0	153024.439
JUNIOR GOLD	5/09/2016	211709.789	7444701.9	24	8821.241208	SM0	211709.789
LARGE GOLD	5/09/2016	153710.695	190031543.5	14	10979.33536	SM0	153710.695
LITHIUM	5/09/2016	213549.8	1565386.4	23	9284.773913	SM0	213549.8
MEDICAL CANNABIS	5/09/2016	106555.913	97905.7	6	17759.31883	SM0	106555.913
MEMORY TECHNOLOGY	5/09/2016	135000	6750	1	135000	SM0	135000
MINING SERVICES	5/09/2016	89863.375	7550	1	89863.375	SM0	89863.375
NICKEL	5/09/2016	134184.016	386542.6	12	11182.00133	SM0	134184.016
OIL & GAS	5/09/2016	95534.237	24772235	12	7961.186416	SM0	95534.237
POTASH PHOSPHATE	5/09/2016	97863.528	11955008.5	7	13980.504	SM0	97863.528
RENEWABLE ENERGY	5/09/2016	168375.9	3644992.5	1	168375.9	SM0	168375.9
SILVER	5/09/2016	136736.193	741284	8	17092.02413	SM0	136736.193
STEM CELLS THERAPEUTICS	5/09/2016	53497.6	548210	1	53497.6	SM0	53497.6
TIN	5/09/2016	166404.64	111751.8	7	23772.09143	SM0	166404.64
URANIUM	5/09/2016	108515.659	1479493.2	19	5711.350473	SM0	108515.659
VANADIUM	5/09/2016	98817.224	219914	3	32939.07467	SM0	98817.224
ZINC	5/09/2016	143974.927	913162.9	17	8469.113352	SM0	143974.927
BAUXITE	6/09/2016	170108.095	76103.7	4	42527.02375	SM0	170108.095
BIO TECHNOLOGY	6/09/2016	134675.075	1392759.1	24	5611.461458	SM0	134675.075
BIOTECH	6/09/2016	66000	310365	1	66000	SM0	66000
COBALT	6/09/2016	177420.948	599182.7	12	14785.079	SM0	177420.948
COKING COAL	6/09/2016	216425.984	401124.2	5	43285.1968	SM0	216425.984
COPPER	6/09/2016	131629.528	2272354.7	23	5723.022956	SM0	131629.528
DIGITAL HEALTHCARE	6/09/2016	142192.428	3442220.2	2	71096.214	SM0	142192.428
FINANCIAL TECHNOLOGY	6/09/2016	98232.92	2619391.3	12	8186.076666	SM0	98232.92
GOLD	6/09/2016	154322.2205	1120361.8	24	6430.09252	SM0	154322.2205
GRAPHENE	6/09/2016	99999.753	27600.9	2	49999.8765	SM0	99999.753
GRAPHITE	6/09/2016	154470.9375	7432838.15	23	6716.127717	SM0	154470.9375
JUNIOR GOLD	6/09/2016	207646.2	6560294.7	24	8651.925	SM0	207646.2
LARGE GOLD	6/09/2016	152171.765	129966430.5	14	10869.41179	SM0	152171.765
LITHIUM	6/09/2016	213442.366	8087465.5	23	9280.102869	SM0	213442.366
MEDICAL CANNABIS	6/09/2016	106896.048	80274.1	6	17816.008	SM0	106896.048
MEMORY TECHNOLOGY	6/09/2016	135000	49167	1	135000	SM0	135000
MINING SERVICES	6/09/2016	86268.84	10164	1	86268.84	SM0	86268.84
NICKEL	6/09/2016	136408.508	524899.9	12	11367.37567	SM0	136408.508
OIL & GAS	6/09/2016	95163.242	16329581.1	12	7930.270166	SM0	95163.242
POTASH PHOSPHATE	6/09/2016	98317.373	17674494	7	14045.339	SM0	98317.373
RENEWABLE ENERGY	6/09/2016	161538.3	1514646	1	161538.3	SM0	161538.3
SILVER	6/09/2016	135347.304	589477.7	8	16918.413	SM0	135347.304
STEM CELLS THERAPEUTICS	6/09/2016	55966.72	851768	1	55966.72	SM0	55966.72
TIN	6/09/2016	165570.715	350406.1	7	23652.95929	SM0	165570.715
URANIUM	6/09/2016	107920.428	891056.7	19	5680.022526	SM0	107920.428
VANADIUM	6/09/2016	97582.659	108293.5	3	32527.553	SM0	97582.659
ZINC	6/09/2016	138748.249	860051.3	17	8161.661705	SM0	138748.249
BAUXITE	7/09/2016	170865.67	42020.5	4	42716.4175	SM0	170865.67
BIO TECHNOLOGY	7/09/2016	134594.919	1165332.3	24	5608.121625	SM0	134594.919
BIOTECH	7/09/2016	66000	45243	1	66000	SM0	66000
COBALT	7/09/2016	177164.154	696749.2	12	14763.6795	SM0	177164.154
COKING COAL	7/09/2016	209284.369	834993.9	5	41856.8738	SM0	209284.369
COPPER	7/09/2016	127362.226	5297052.6	23	5537.488086	SM0	127362.226
DIGITAL HEALTHCARE	7/09/2016	135400.986	1924674.3	2	67700.493	SM0	135400.986
FINANCIAL TECHNOLOGY	7/09/2016	97930.504	2184591.2	12	8160.875333	SM0	97930.504
GOLD	7/09/2016	158581.865	2039415.8	24	6607.577708	SM0	158581.865
GRAPHENE	7/09/2016	99999.753	11463.3	2	49999.8765	SM0	99999.753
GRAPHITE	7/09/2016	155521.76	7008444.7	23	6761.815652	SM0	155521.76
JUNIOR GOLD	7/09/2016	214170.954	13026647.6	24	8923.78975	SM0	214170.954
LARGE GOLD	7/09/2016	161996.66	309845841.5	14	11571.19	SM0	161996.66
LITHIUM	7/09/2016	208272.813	3852704.1	23	9055.339695	SM0	208272.813
MEDICAL CANNABIS	7/09/2016	107470.76	70653.8	6	17911.79333	SM0	107470.76
MEMORY TECHNOLOGY	7/09/2016	135000	3442.5	1	135000	SM0	135000
MINING SERVICES	7/09/2016	89863.375	19687.5	1	89863.375	SM0	89863.375
NICKEL	7/09/2016	132472.077	559189.9	12	11039.33975	SM0	132472.077
OIL & GAS	7/09/2016	95936.25	55053255.4	12	7994.6875	SM0	95936.25
POTASH PHOSPHATE	7/09/2016	98308.623	23515294.3	7	14044.089	SM0	98308.623
RENEWABLE ENERGY	7/09/2016	154700.7	2064576.5	1	154700.7	SM0	154700.7
SILVER	7/09/2016	138020.915	939013.6	8	17252.61438	SM0	138020.915
STEM CELLS THERAPEUTICS	7/09/2016	53909.12	955514	1	53909.12	SM0	53909.12
TIN	7/09/2016	160298.845	184485.5	7	22899.835	SM0	160298.845
URANIUM	7/09/2016	109135.333	1199863.4	19	5743.964894	SM0	109135.333
VANADIUM	7/09/2016	98729.046	228857.9	3	32909.682	SM0	98729.046
ZINC	7/09/2016	137639.733	853616.8	17	8096.454882	SM0	137639.733
BAUXITE	8/09/2016	174144.42	59027	4	43536.105	SM0	174144.42
BIO TECHNOLOGY	8/09/2016	135657.759	1339458.8	24	5652.406625	SM0	135657.759
BIOTECH	8/09/2016	64000	300672	1	64000	SM0	64000
COBALT	8/09/2016	182416.182	2427295.8	12	15201.3485	SM0	182416.182
COKING COAL	8/09/2016	214983.714	879784.5	5	42996.7428	SM0	214983.714
COPPER	8/09/2016	125180.384	5289570.1	23	5442.625391	SM0	125180.384
DIGITAL HEALTHCARE	8/09/2016	132958.924	3147147.4	2	66479.462	SM0	132958.924
FINANCIAL TECHNOLOGY	8/09/2016	97644.369	6824132.1	12	8137.03075	SM0	97644.369
GOLD	8/09/2016	158347.724	1364557.3	24	6597.821833	SM0	158347.724
GRAPHENE	8/09/2016	99999.753	2789.7	2	49999.8765	SM0	99999.753
GRAPHITE	8/09/2016	153656.24	6259748.9	23	6680.706086	SM0	153656.24
JUNIOR GOLD	8/09/2016	210674.391	11956738.6	24	8778.099625	SM0	210674.391
LARGE GOLD	8/09/2016	158398.305	166572659	14	11314.16464	SM0	158398.305
LITHIUM	8/09/2016	209049.426	8476374.3	23	9089.105478	SM0	209049.426
MEDICAL CANNABIS	8/09/2016	106896.048	25761.6	6	17816.008	SM0	106896.048
MEMORY TECHNOLOGY	8/09/2016	115000	24359.3	1	115000	SM0	115000
MINING SERVICES	8/09/2016	82674.305	56189	1	82674.305	SM0	82674.305
NICKEL	8/09/2016	136990.115	744344.9	12	11415.84292	SM0	136990.115
OIL & GAS	8/09/2016	96756.411	42767262.3	12	8063.03425	SM0	96756.411
POTASH PHOSPHATE	8/09/2016	97443.433	25171072.3	7	13920.49043	SM0	97443.433
RENEWABLE ENERGY	8/09/2016	158119.5	1176692.5	1	158119.5	SM0	158119.5
SILVER	8/09/2016	134998.665	568926.9	8	16874.83313	SM0	134998.665
STEM CELLS THERAPEUTICS	8/09/2016	52468.8	862665	1	52468.8	SM0	52468.8
TIN	8/09/2016	171265.369	361752.4	7	24466.48129	SM0	171265.369
URANIUM	8/09/2016	108729.944	638067	19	5722.628631	SM0	108729.944
VANADIUM	8/09/2016	95201.707	64061.5	3	31733.90233	SM0	95201.707
ZINC	8/09/2016	139818.733	542570.3	17	8224.631352	SM0	139818.733
BAUXITE	9/09/2016	169220.185	72986	4	42305.04625	SM0	169220.185
BIO TECHNOLOGY	9/09/2016	135577.821	959499.6	24	5649.075875	SM0	135577.821
BIOTECH	9/09/2016	65000	191555	1	65000	SM0	65000
COBALT	9/09/2016	180437.943	1631628.2	12	15036.49525	SM0	180437.943
COKING COAL	9/09/2016	226327.005	673784.8	5	45265.401	SM0	226327.005
COPPER	9/09/2016	127058.7	5458715	23	5524.291304	SM0	127058.7
DIGITAL HEALTHCARE	9/09/2016	133654.108	1785705.4	2	66827.054	SM0	133654.108
FINANCIAL TECHNOLOGY	9/09/2016	96535.508	1713713	12	8044.625666	SM0	96535.508
GOLD	9/09/2016	155129.482	1280375.3	24	6463.728416	SM0	155129.482
GRAPHENE	9/09/2016	99999.753	15150	2	49999.8765	SM0	99999.753
GRAPHITE	9/09/2016	154817.199	6523833.5	23	6731.182565	SM0	154817.199
JUNIOR GOLD	9/09/2016	209456.175	7515155.5	24	8727.340625	SM0	209456.175
LARGE GOLD	9/09/2016	155135.31	153902388	14	11081.09357	SM0	155135.31
LITHIUM	9/09/2016	217514.217	10511262.6	23	9457.139869	SM0	217514.217
MEDICAL CANNABIS	9/09/2016	106321.336	84540	6	17720.22267	SM0	106321.336
MEMORY TECHNOLOGY	9/09/2016	125000	3067.5	1	125000	SM0	125000
MINING SERVICES	9/09/2016	86268.84	66912	1	86268.84	SM0	86268.84
NICKEL	9/09/2016	134752	722189	12	11229.33333	SM0	134752
OIL & GAS	9/09/2016	94663.688	64919870.6	12	7888.640666	SM0	94663.688
POTASH PHOSPHATE	9/09/2016	98515.546	28664725.9	7	14073.64943	SM0	98515.546
RENEWABLE ENERGY	9/09/2016	156410.1	1169370	1	156410.1	SM0	156410.1
SILVER	9/09/2016	137753.295	646278.4	8	17219.16188	SM0	137753.295
STEM CELLS THERAPEUTICS	9/09/2016	50616.96	887199	1	50616.96	SM0	50616.96
TIN	9/09/2016	175166.137	413989	7	25023.73386	SM0	175166.137
URANIUM	9/09/2016	115462.533	1184675.6	19	6076.975421	SM0	115462.533
VANADIUM	9/09/2016	98002.827	131366.2	3	32667.609	SM0	98002.827
ZINC	9/09/2016	141863.118	272068.3	17	8344.889294	SM0	141863.118
BAUXITE	12/09/2016	172061.09	163454	4	43015.2725	SM0	172061.09
BIO TECHNOLOGY	12/09/2016	135133.375	1207270.2	24	5630.557291	SM0	135133.375
BIOTECH	12/09/2016	65000	124215	1	65000	SM0	65000
COBALT	12/09/2016	168244.452	931373.9	12	14020.371	SM0	168244.452
COKING COAL	12/09/2016	227557.94	270516.1	5	45511.588	SM0	227557.94
COPPER	12/09/2016	126078.014	6612743.1	23	5481.652782	SM0	126078.014
DIGITAL HEALTHCARE	12/09/2016	127005.27	1128643.5	2	63502.635	SM0	127005.27
FINANCIAL TECHNOLOGY	12/09/2016	95542.683	2028854.5	12	7961.89025	SM0	95542.683
GOLD	12/09/2016	154207.7955	2368039.8	24	6425.324812	SM0	154207.7955
GRAPHENE	12/09/2016	99999.753	326724.912	2	49999.8765	SM0	99999.753
GRAPHITE	12/09/2016	150696.839	7541872.6	23	6552.036478	SM0	150696.839
JUNIOR GOLD	12/09/2016	204732.996	8536821.5	24	8530.5415	SM0	204732.996
LARGE GOLD	12/09/2016	151317.495	209205070	14	10808.3925	SM0	151317.495
LITHIUM	12/09/2016	211521.552	5327495	23	9196.589217	SM0	211521.552
MEDICAL CANNABIS	12/09/2016	105981.201	170120	6	17663.5335	SM0	105981.201
MEMORY TECHNOLOGY	12/09/2016	115000	35475.2	1	115000	SM0	115000
MINING SERVICES	12/09/2016	75485.235	87234	1	75485.235	SM0	75485.235
NICKEL	12/09/2016	129053.582	419491.4	12	10754.46517	SM0	129053.582
OIL & GAS	12/09/2016	94265.8575	52601599.7	12	7855.488125	SM0	94265.8575
POTASH PHOSPHATE	12/09/2016	98861.201	23478068.7	7	14123.02871	SM0	98861.201
RENEWABLE ENERGY	12/09/2016	141025.5	2711280	1	141025.5	SM0	141025.5
SILVER	12/09/2016	132648.659	1134188.8	8	16581.08238	SM0	132648.659
STEM CELLS THERAPEUTICS	12/09/2016	48765.12	566548.5	1	48765.12	SM0	48765.12
TIN	12/09/2016	181608.756	1115862.4	7	25944.108	SM0	181608.756
URANIUM	12/09/2016	121159.538	2057587.3	19	6376.817789	SM0	121159.538
VANADIUM	12/09/2016	98817.224	318818	3	32939.07467	SM0	98817.224
ZINC	12/09/2016	134085.928	841902.6	17	7887.407529	SM0	134085.928
BAUXITE	13/09/2016	170991.935	205928	4	42747.98375	SM0	170991.935
BIO TECHNOLOGY	13/09/2016	136714.814	1059514.5	24	5696.450583	SM0	136714.814
BIOTECH	13/09/2016	65000	188207.5	1	65000	SM0	65000
COBALT	13/09/2016	169827.307	699101.1	12	14152.27558	SM0	169827.307
COKING COAL	13/09/2016	240669.05	874749.2	5	48133.81	SM0	240669.05
COPPER	13/09/2016	124145.136	4798605.7	23	5397.614608	SM0	124145.136
DIGITAL HEALTHCARE	13/09/2016	128894.752	1266408.2	2	64447.376	SM0	128894.752
FINANCIAL TECHNOLOGY	13/09/2016	96488.494	1883284.5	12	8040.707833	SM0	96488.494
GOLD	13/09/2016	153217.822	1141804.6	24	6384.075916	SM0	153217.822
GRAPHENE	13/09/2016	91666.42	64135.75	2	45833.21	SM0	91666.42
GRAPHITE	13/09/2016	151903.309	8252855.6	23	6604.491695	SM0	151903.309
JUNIOR GOLD	13/09/2016	204131.257	9453032.5	24	8505.469041	SM0	204131.257
LARGE GOLD	13/09/2016	153605.35	197346223.5	14	10971.81071	SM0	153605.35
LITHIUM	13/09/2016	207373.296	5698772.7	23	9016.23026	SM0	207373.296
MEDICAL CANNABIS	13/09/2016	106321.336	65738.5	6	17720.22267	SM0	106321.336
MEMORY TECHNOLOGY	13/09/2016	115000	35475.2	1	115000	SM0	115000
MINING SERVICES	13/09/2016	79079.77	75273	1	79079.77	SM0	79079.77
NICKEL	13/09/2016	128193.262	524987.9	12	10682.77183	SM0	128193.262
OIL & GAS	13/09/2016	93907.828	33737792.3	12	7825.652333	SM0	93907.828
POTASH PHOSPHATE	13/09/2016	99124.416	22045677.8	7	14160.63086	SM0	99124.416
RENEWABLE ENERGY	13/09/2016	141025.5	2513280	1	141025.5	SM0	141025.5
SILVER	13/09/2016	130819.486	757000.8	8	16352.43575	SM0	130819.486
STEM CELLS THERAPEUTICS	13/09/2016	48970.88	653786	1	48970.88	SM0	48970.88
TIN	13/09/2016	181073.206	1109753	7	25867.60086	SM0	181073.206
URANIUM	13/09/2016	120849.365	1048852.9	19	6360.492894	SM0	120849.365
VANADIUM	13/09/2016	93240.923	92456.7	3	31080.30767	SM0	93240.923
ZINC	13/09/2016	137990.996	546510.4	17	8117.117411	SM0	137990.996
BAUXITE	14/09/2016	178441.42	136537.5	4	44610.355	SM0	178441.42
BIO TECHNOLOGY	14/09/2016	135433.846	983860.7	24	5643.076916	SM0	135433.846
BIOTECH	14/09/2016	66000	125862	1	66000	SM0	66000
COBALT	14/09/2016	170926.622	452776.8	12	14243.88517	SM0	170926.622
COKING COAL	14/09/2016	232516.545	606831.6	5	46503.309	SM0	232516.545
COPPER	14/09/2016	120734.841	4275343.6	23	5249.340913	SM0	120734.841
DIGITAL HEALTHCARE	14/09/2016	132673.716	677007.9	2	66336.858	SM0	132673.716
FINANCIAL TECHNOLOGY	14/09/2016	96865.978	2207678.1	12	8072.164833	SM0	96865.978
GOLD	14/09/2016	152282.301	903245.3	24	6345.095875	SM0	152282.301
GRAPHENE	14/09/2016	99999.753	32415.3	2	49999.8765	SM0	99999.753
GRAPHITE	14/09/2016	151336.761	10239227.7	23	6579.859173	SM0	151336.761
JUNIOR GOLD	14/09/2016	202084.307	4800899.2	24	8420.179458	SM0	202084.307
LARGE GOLD	14/09/2016	153861.98	206850238.5	14	10990.14143	SM0	153861.98
LITHIUM	14/09/2016	195862.6438	5348602.52	23	8515.767121	SM0	195862.6438
MEDICAL CANNABIS	14/09/2016	106661.471	81197	6	17776.91183	SM0	106661.471
MEMORY TECHNOLOGY	14/09/2016	120000	46008	1	120000	SM0	120000
MINING SERVICES	14/09/2016	79079.77	42988	1	79079.77	SM0	79079.77
NICKEL	14/09/2016	127128.511	315712.3	12	10594.04258	SM0	127128.511
OIL & GAS	14/09/2016	93919.858	64964014.4	12	7826.654833	SM0	93919.858
POTASH PHOSPHATE	14/09/2016	97381.906	23546836.6	7	13911.70086	SM0	97381.906
RENEWABLE ENERGY	14/09/2016	141880.2	5790080	1	141880.2	SM0	141880.2
SILVER	14/09/2016	117647.719	1006778.4	8	14705.96488	SM0	117647.719
STEM CELLS THERAPEUTICS	14/09/2016	50205.44	1185474	1	50205.44	SM0	50205.44
TIN	14/09/2016	178188.047	265850.5	7	25455.43529	SM0	178188.047
URANIUM	14/09/2016	123199.117	1097200.1	19	6484.164052	SM0	123199.117
VANADIUM	14/09/2016	94475.488	216464.5	3	31491.82933	SM0	94475.488
ZINC	14/09/2016	137212.865	761028.4	17	8071.345	SM0	137212.865
BAUXITE	15/09/2016	179704.045	25835.5	4	44926.01125	SM0	179704.045
BIO TECHNOLOGY	15/09/2016	136516.238	544073.8	24	5688.176583	SM0	136516.238
BIOTECH	15/09/2016	66000	338745	1	66000	SM0	66000
COBALT	15/09/2016	170316.452	510454.9	12	14193.03767	SM0	170316.452
COKING COAL	15/09/2016	246204.995	718873.9	5	49240.999	SM0	246204.995
COPPER	15/09/2016	123626.735	4855098.9	23	5375.075434	SM0	123626.735
DIGITAL HEALTHCARE	15/09/2016	129732.54	1463604	2	64866.27	SM0	129732.54
FINANCIAL TECHNOLOGY	15/09/2016	96251.361	1955267.75	12	8020.94675	SM0	96251.361
GOLD	15/09/2016	153197.32	785245.85	24	6383.221666	SM0	153197.32
GRAPHENE	15/09/2016	91666.42	6592.5	2	45833.21	SM0	91666.42
GRAPHITE	15/09/2016	152483.29	9275026.1	23	6629.70826	SM0	152483.29
JUNIOR GOLD	15/09/2016	204178.981	8854714.4	24	8507.457541	SM0	204178.981
LARGE GOLD	15/09/2016	154370.99	189336998	14	11026.49929	SM0	154370.99
LITHIUM	15/09/2016	206827.445	5320881.8	23	8992.497608	SM0	206827.445
MEDICAL CANNABIS	15/09/2016	106555.913	114249.4	6	17759.31883	SM0	106555.913
MEMORY TECHNOLOGY	15/09/2016	120000	818.4	1	120000	SM0	120000
MINING SERVICES	15/09/2016	79079.77	8459	1	79079.77	SM0	79079.77
NICKEL	15/09/2016	128216.5635	232240.7	12	10684.71363	SM0	128216.5635
OIL & GAS	15/09/2016	93485.8185	54081582.25	12	7790.484875	SM0	93485.8185
POTASH PHOSPHATE	15/09/2016	99709.631	18566601.5	7	14244.233	SM0	99709.631
RENEWABLE ENERGY	15/09/2016	134187.9	2937862.5	1	134187.9	SM0	134187.9
SILVER	15/09/2016	115957.906	356548.4	8	14494.73825	SM0	115957.906
STEM CELLS THERAPEUTICS	15/09/2016	51028.48	1102608	1	51028.48	SM0	51028.48
TIN	15/09/2016	186351.178	325448.4	7	26621.59686	SM0	186351.178
URANIUM	15/09/2016	121460.445	994951.8	19	6392.655	SM0	121460.445
VANADIUM	15/09/2016	94475.488	165458.6	3	31491.82933	SM0	94475.488
ZINC	15/09/2016	132996.134	515634.4	17	7823.302	SM0	132996.134
BAUXITE	16/09/2016	171883.92	172982.5	4	42970.98	SM0	171883.92
BIO TECHNOLOGY	16/09/2016	137751.887	975947.4	24	5739.661958	SM0	137751.887
BIOTECH	16/09/2016	65000	132015	1	65000	SM0	65000
COBALT	16/09/2016	169023.1885	292765.1	12	14085.26571	SM0	169023.1885
COKING COAL	16/09/2016	255673.4	539881.9	5	51134.68	SM0	255673.4
COPPER	16/09/2016	124234.286	8197943.5	23	5401.490695	SM0	124234.286
DIGITAL HEALTHCARE	16/09/2016	136096.17	4215054	2	68048.085	SM0	136096.17
FINANCIAL TECHNOLOGY	16/09/2016	97777.008	2566104.8	12	8148.084	SM0	97777.008
GOLD	16/09/2016	152711.346	1250629.8	24	6362.97275	SM0	152711.346
GRAPHENE	16/09/2016	99999.753	5700	2	49999.8765	SM0	99999.753
GRAPHITE	16/09/2016	155343.862	15440852.3	23	6754.080956	SM0	155343.862
JUNIOR GOLD	16/09/2016	205377.395	26531379.6	24	8557.391458	SM0	205377.395
LARGE GOLD	16/09/2016	153681.505	539747301.5	14	10977.25036	SM0	153681.505
LITHIUM	16/09/2016	211773.753	3470667.3	23	9207.554478	SM0	211773.753
MEDICAL CANNABIS	16/09/2016	107130.625	236401.2	6	17855.10417	SM0	107130.625
MEMORY TECHNOLOGY	16/09/2016	120000	37684.8	1	120000	SM0	120000
MINING SERVICES	16/09/2016	79079.77	40799	1	79079.77	SM0	79079.77
NICKEL	16/09/2016	128910.798	316621.9	12	10742.5665	SM0	128910.798
OIL & GAS	16/09/2016	93297.5345	54295638.05	12	7774.794541	SM0	93297.5345
POTASH PHOSPHATE	16/09/2016	99217.291	59883227.8	7	14173.89871	SM0	99217.291
RENEWABLE ENERGY	16/09/2016	141880.2	18912214	1	141880.2	SM0	141880.2
SILVER	16/09/2016	123805.124	1030657.4	8	15475.6405	SM0	123805.124
STEM CELLS THERAPEUTICS	16/09/2016	48353.6	7269842.5	1	48353.6	SM0	48353.6
TIN	16/09/2016	188379.8785	149254.5	7	26911.41121	SM0	188379.8785
URANIUM	16/09/2016	122316.903	789427.5	19	6437.731736	SM0	122316.903
VANADIUM	16/09/2016	94475.488	94113.7	3	31491.82933	SM0	94475.488
ZINC	16/09/2016	134221.263	592475.3	17	7895.368411	SM0	134221.263
BAUXITE	19/09/2016	172136.445	45991.5	4	43034.11125	SM0	172136.445
BIO TECHNOLOGY	19/09/2016	137104.267	396672.3	24	5712.677791	SM0	137104.267
BIOTECH	19/09/2016	66000	214269	1	66000	SM0	66000
COBALT	19/09/2016	168820.75	340833.6	12	14068.39583	SM0	168820.75
COKING COAL	19/09/2016	268414.14	433467.9	5	53682.828	SM0	268414.14
COPPER	19/09/2016	124460.741	2285633.4	23	5411.336565	SM0	124460.741
DIGITAL HEALTHCARE	19/09/2016	138752.138	1030999.6	2	69376.069	SM0	138752.138
FINANCIAL TECHNOLOGY	19/09/2016	97765.827	1258425	12	8147.15225	SM0	97765.827
GOLD	19/09/2016	151407.7345	609326.3	24	6308.655604	SM0	151407.7345
GRAPHENE	19/09/2016	99999.753	5700	2	49999.8765	SM0	99999.753
GRAPHITE	19/09/2016	157023.7715	4237804.1	23	6827.1205	SM0	157023.7715
JUNIOR GOLD	19/09/2016	204246.3165	2444545.65	24	8510.263187	SM0	204246.3165
LARGE GOLD	19/09/2016	155910.98	49865343.5	14	11136.49857	SM0	155910.98
LITHIUM	19/09/2016	213034.4235	1940030.45	23	9262.366239	SM0	213034.4235
MEDICAL CANNABIS	19/09/2016	108960.319	169565.6	6	18160.05317	SM0	108960.319
MEMORY TECHNOLOGY	19/09/2016	120000	37684.8	1	120000	SM0	120000
MINING SERVICES	19/09/2016	89863.375	28975	1	89863.375	SM0	89863.375
NICKEL	19/09/2016	126194.135	191817.5	12	10516.17792	SM0	126194.135
OIL & GAS	19/09/2016	92784.6815	14422863.4	12	7732.056791	SM0	92784.6815
POTASH PHOSPHATE	19/09/2016	98474.331	3898831.8	7	14067.76157	SM0	98474.331
RENEWABLE ENERGY	19/09/2016	143589.6	1205568	1	143589.6	SM0	143589.6
SILVER	19/09/2016	124406.977	136639	8	15550.87213	SM0	124406.977
STEM CELLS THERAPEUTICS	19/09/2016	47530.56	387156	1	47530.56	SM0	47530.56
TIN	19/09/2016	197518.198	90311.5	7	28216.88543	SM0	197518.198
URANIUM	19/09/2016	122442.795	356991	19	6444.357631	SM0	122442.795
VANADIUM	19/09/2016	93240.923	44837	3	31080.30767	SM0	93240.923
ZINC	19/09/2016	134722.63	256993	17	7924.860588	SM0	134722.63
BAUXITE	20/09/2016	174661.695	112760.9	4	43665.42375	SM0	174661.695
BIO TECHNOLOGY	20/09/2016	143039.042	1056079.5	24	5959.960083	SM0	143039.042
BIOTECH	20/09/2016	64000	346720	1	64000	SM0	64000
COBALT	20/09/2016	164164.4965	647157.25	12	13680.37471	SM0	164164.4965
COKING COAL	20/09/2016	264625.475	1280162.3	5	52925.095	SM0	264625.475
COPPER	20/09/2016	123353.981	4060958.9	23	5363.216565	SM0	123353.981
DIGITAL HEALTHCARE	20/09/2016	145044.466	4693812.4	2	72522.233	SM0	145044.466
FINANCIAL TECHNOLOGY	20/09/2016	97511.842	3087206.4	12	8125.986833	SM0	97511.842
GOLD	20/09/2016	147100.229	966095.5	24	6129.176208	SM0	147100.229
GRAPHENE	20/09/2016	83333.087	27069.2	2	41666.5435	SM0	83333.087
GRAPHITE	20/09/2016	155955.34	6810773	23	6780.666956	SM0	155955.34
JUNIOR GOLD	20/09/2016	206171.463	4050082.7	24	8590.477625	SM0	206171.463
LARGE GOLD	20/09/2016	153796.45	195073551	14	10985.46071	SM0	153796.45
LITHIUM	20/09/2016	215657.076	7255022.65	23	9376.394608	SM0	215657.076
MEDICAL CANNABIS	20/09/2016	107470.76	63482.3	6	17911.79333	SM0	107470.76
MEMORY TECHNOLOGY	20/09/2016	120000	16320	1	120000	SM0	120000
MINING SERVICES	20/09/2016	97052.445	1689079.5	1	97052.445	SM0	97052.445
NICKEL	20/09/2016	128505.038	567746.7	12	10708.75317	SM0	128505.038
OIL & GAS	20/09/2016	93025.968	34834376.4	12	7752.164	SM0	93025.968
POTASH PHOSPHATE	20/09/2016	97165.743	21745607	7	13880.82043	SM0	97165.743
RENEWABLE ENERGY	20/09/2016	136752	3422640	1	136752	SM0	136752
SILVER	20/09/2016	123180.124	426682.5	8	15397.5155	SM0	123180.124
STEM CELLS THERAPEUTICS	20/09/2016	46707.52	1198560	1	46707.52	SM0	46707.52
TIN	20/09/2016	186551.1975	149456.05	7	26650.17107	SM0	186551.1975
URANIUM	20/09/2016	129098.109	1224426.1	19	6794.637315	SM0	129098.109
VANADIUM	20/09/2016	90859.971	112709.8	3	30286.657	SM0	90859.971
