Token	ObservationDate	HoldValue	TradeValue	ASXCode	AvgHoldValue	MAAvgHoldKey	MAAvgHoldValue
GRAPHITE	11/04/2016	108947.3345	4981142.91	23	4736.84063	SM0	108947.3345
JUNIOR GOLD	11/04/2016	110652.9433	4815565.84	24	4610.539304	SM0	110652.9433
LARGE GOLD	11/04/2016	115825.5604	156640879.2	14	8273.254314	SM0	115825.5604
LITHIUM	11/04/2016	122215.6724	6684518.96	23	5313.724886	SM0	122215.6724
MEDICAL CANNABIS	11/04/2016	101829.198	263171.9	6	16971.533	SM0	101829.198
MEMORY TECHNOLOGY	11/04/2016	120000	55118.4	1	120000	SM0	120000
MINING SERVICES	11/04/2016	97052.445	1390.5	1	97052.445	SM0	97052.445
NICKEL	11/04/2016	103684.507	1349193.6	12	8640.375583	SM0	103684.507
OIL & GAS	11/04/2016	93867.042	27803377.5	12	7822.2535	SM0	93867.042
POTASH PHOSPHATE	11/04/2016	100217.779	17829271.2	7	14316.82557	SM0	100217.779
RENEWABLE ENERGY	11/04/2016	119658	1196370	1	119658	SM0	119658
SILVER	11/04/2016	106666.511	806623.4	8	13333.31388	SM0	106666.511
STEM CELLS THERAPEUTICS	11/04/2016	102468.48	704919	1	102468.48	SM0	102468.48
TIN	11/04/2016	110905.153	708007.2	7	15843.59329	SM0	110905.153
URANIUM	11/04/2016	105315.1068	2340227.56	19	5542.900357	SM0	105315.1068
VANADIUM	11/04/2016	101654.644	358708.7	3	33884.88133	SM0	101654.644
ZINC	11/04/2016	96368.4214	319722.09	17	5668.73067	SM0	96368.4214
BAUXITE	12/04/2016	115614.454	376450.5	4	28903.6135	SM0	115614.454
BIO TECHNOLOGY	12/04/2016	104661.8948	732655.98	24	4360.912283	SM0	104661.8948
BIOTECH	12/04/2016	91000	88907	1	91000	SM0	91000
COBALT	12/04/2016	118451.895	754400	12	9870.99125	SM0	118451.895
COKING COAL	12/04/2016	106888.82	13517.8	5	21377.764	SM0	106888.82
COPPER	12/04/2016	103500.272	4415197.1	23	4500.011826	SM0	103500.272
DIGITAL HEALTHCARE	12/04/2016	99233.456	823594.5	2	49616.728	SM0	99233.456
FINANCIAL TECHNOLOGY	12/04/2016	98591.607	774930.3	12	8215.96725	SM0	98591.607
GOLD	12/04/2016	118068.9894	4202434.632	24	4919.541225	SM0	118068.9894
GRAPHENE	12/04/2016	99999.753	3150	2	49999.8765	SM0	99999.753
GRAPHITE	12/04/2016	109928.9152	4618841.07	23	4779.518052	SM0	109928.9152
JUNIOR GOLD	12/04/2016	111743.4774	6470723.88	24	4655.978225	SM0	111743.4774
LARGE GOLD	12/04/2016	118559.4486	168873834.4	14	8468.532042	SM0	118559.4486
LITHIUM	12/04/2016	121331.3106	8913139.46	23	5275.274373	SM0	121331.3106
MEDICAL CANNABIS	12/04/2016	101489.063	128515.2	6	16914.84383	SM0	101489.063
MEMORY TECHNOLOGY	12/04/2016	145000	44892	1	145000	SM0	145000
MINING SERVICES	12/04/2016	91157.4076	2041.48	1	91157.4076	SM0	91157.4076
NICKEL	12/04/2016	102586.079	404553.3	12	8548.839916	SM0	102586.079
