signal_code,market_date,direction,triggered,resolved,entry_timestamp,entry_price,exit_timestamp,exit_price,exit_reason,return_pct,source_revision,source_hash,feature__GEX,feature__GEX_SMA20,feature__RSI
GLD_HIGH_GEX_TREND_CONTINUATION,2025-12-18,LONG,True,True,2025-12-19T07:30:00-05:00,397.69,2025-12-22T16:00:00-05:00,408.25,D2_CLOSE,2.6553345570670572,09ffc9576eb85ed1e715cee96184cb1d81d4e65235f9b227667d0d1f1e0e3de3,bf55843bcbdd62d8e3ad4b95322ef901c8c47f175ad816240788553d4fccb4ad,1738510.0,1131197.3,75.18387507761243
GLD_HIGH_GEX_TREND_CONTINUATION,2025-12-23,LONG,True,True,2025-12-24T07:30:00-05:00,412.97,2025-12-26T16:00:00-05:00,416.68,D2_CLOSE,0.8983703416713062,6211d907ef3c8aed0828dc7929b392ee50eeb4a7a088ed3e75b22419da010d3c,bf55843bcbdd62d8e3ad4b95322ef901c8c47f175ad816240788553d4fccb4ad,1212333.0,1188193.4,92.2306876649425
GLD_HIGH_GEX_TREND_CONTINUATION,2026-01-12,LONG,True,True,2026-01-13T07:30:00-05:00,421.09,2026-01-14T16:00:00-05:00,425.94,D2_CLOSE,1.1517727801657607,286d6b06faa8be2e5530787f070b7f2c4acd3dd7a5c317dca327f061fe063dd8,bf55843bcbdd62d8e3ad4b95322ef901c8c47f175ad816240788553d4fccb4ad,1700415.0,1137249.2,65.75267403121164
GLD_HIGH_GEX_TREND_CONTINUATION,2026-01-20,LONG,True,True,2026-01-21T07:30:00-05:00,447.24,2026-01-22T16:00:00-05:00,451.92,D2_CLOSE,1.0464180305876036,dadc4d1b80e0717b40b7720f064bdb64d0e6ebbcd1ac37fecd9f6af334f5f0b6,bf55843bcbdd62d8e3ad4b95322ef901c8c47f175ad816240788553d4fccb4ad,1506912.0,1240624.35,81.14210573659028
GLD_HIGH_GEX_TREND_CONTINUATION,2026-01-21,LONG,True,True,2026-01-22T07:30:00-05:00,444.1,2026-01-23T16:00:00-05:00,457.82,D2_CLOSE,3.0893942805674257,e68e0be6f11a1db620772aac9130500561c579653bbbfa06fdbc8784fe48f3df,bf55843bcbdd62d8e3ad4b95322ef901c8c47f175ad816240788553d4fccb4ad,1728542.0,1277160.95,82.73555777614648
GLD_HIGH_GEX_TREND_CONTINUATION,2026-01-22,LONG,True,True,2026-01-23T07:30:00-05:00,453.57,2026-01-26T16:00:00-05:00,464.73,D2_CLOSE,2.4604801904887896,8614b7f39d80667a21b9507f56f9dca3a64c21ef32eb3d73c589ae9173c4cac8,bf55843bcbdd62d8e3ad4b95322ef901c8c47f175ad816240788553d4fccb4ad,2162387.0,1332028.45,87.59209919471483
GLD_HIGH_GEX_TREND_CONTINUATION,2026-01-23,LONG,True,True,2026-01-26T07:30:00-05:00,467.84,2026-01-27T16:00:00-05:00,475.93,D2_CLOSE,1.7292236662106664,2cd2a8ff97ad05a5444649235e408bf2e267101defa89cc55610e04cbd753737,bf55843bcbdd62d8e3ad4b95322ef901c8c47f175ad816240788553d4fccb4ad,1603205.0,1351572.05,88.17497815918466
GLD_HIGH_GEX_TREND_CONTINUATION,2026-01-26,LONG,True,True,2026-01-27T07:30:00-05:00,466.77,2026-01-28T16:00:00-05:00,494.26,D2_CLOSE,5.88941020202669,aeaabac042ae7e271b8a2d180150637b10bd3464b2068f202b6a0f496edf15cd,bf55843bcbdd62d8e3ad4b95322ef901c8c47f175ad816240788553d4fccb4ad,1492333.0,1372305.8,87.37755916832253
GLD_HIGH_GEX_TREND_CONTINUATION,2026-01-27,LONG,True,True,2026-01-28T07:30:00-05:00,483.77,2026-01-29T16:00:00-05:00,495.74,D2_CLOSE,2.474316307336144,62e8281e95c99b5b981db182840d5d9104c8f724f3b755495328fc5d99b75d44,bf55843bcbdd62d8e3ad4b95322ef901c8c47f175ad816240788553d4fccb4ad,1481934.0,1394572.55,88.30131598496484
GLD_HIGH_GEX_TREND_CONTINUATION,2026-02-23,LONG,True,True,2026-02-24T07:30:00-05:00,474.5,2026-02-25T16:00:00-05:00,473.46,D2_CLOSE,-0.21917808219178436,d8a8cfcdf96da407537f0c72f07e0f3460c1e1f5dbb4d4e28c6a1e8010a9ea8f,bf55843bcbdd62d8e3ad4b95322ef901c8c47f175ad816240788553d4fccb4ad,1256387.0,986920.0,66.17307545941192
