signal_code,market_date,direction,portfolio_decision,candidate_outcome_status,entry_time,entry_price,entry_type,exit_time,exit_price,exit_reason,return_pct,mfe_pct,mae_pct,blocking_signal,blocking_market_date,source_revision
REVERSAL_GREEN,2025-03-06,LONG,TRADED,CLOSED,2025-03-07T10:30:00-05:00,19487.461377157855,DIP_LIMIT,2025-03-13T15:30:00-04:00,18783.866090780826,D5_CASH_CLOSE,-0.036105025316522044,0.01575906788254812,0.041672722165454035,,,a85b8b7c0683b5fc-385be7c794fe3cdc
RELIABLE_YELLOW,2025-03-07,SHORT,SKIPPED_EXISTING_POSITION,CLOSED,2025-03-10T03:30:00-04:00,19609.1706952518,D1_0330_OPEN,2025-03-10T04:30:00-04:00,19530.73401247079,TP,0.004000000000000048,0.007327237668719151,0.0015301362194440208,REVERSAL_GREEN,2025-03-06,a85b8b7c0683b5fc-385be7c794fe3cdc
REVERSAL_GREEN,2025-03-11,LONG,SKIPPED_EXISTING_POSITION,CLOSED,2025-03-13T13:00:00-04:00,18754.74654664843,DIP_LIMIT,2025-03-18T15:30:00-04:00,19025.715336157675,D5_CASH_CLOSE,0.014448011271987582,0.03820533482172547,0.002732935065444789,REVERSAL_GREEN,2025-03-06,a85b8b7c0683b5fc-385be7c794fe3cdc
REVERSAL_GREEN,2025-03-13,LONG,TRADED,CLOSED,2025-03-18T03:30:00-04:00,19294.114897893258,D3_FALLBACK,2025-03-20T15:30:00-04:00,19194.913261316527,D5_CASH_CLOSE,-0.00514154896981367,0.007943755707619812,0.01901497429225517,,,a85b8b7c0683b5fc-385be7c794fe3cdc
STRONG_YELLOW,2025-03-14,SHORT,SKIPPED_EXISTING_POSITION,CLOSED,2025-03-17T03:30:00-04:00,19102.469887085656,D1_0330_OPEN,2025-03-17T08:30:00-04:00,19293.494585956512,SL,-0.010000000000000014,0.001036099212817329,0.010209367853126618,REVERSAL_GREEN,2025-03-13,a85b8b7c0683b5fc-385be7c794fe3cdc
NORMAL_GREEN,2025-03-18,LONG,TRADED,CLOSED,2025-03-21T03:30:00-04:00,19169.08704449485,D3_0330_OPEN,2025-03-24T10:30:00-04:00,19648.31422060722,TP,0.02499999999999991,0.025422128206096725,0.01271735982573449,,,a85b8b7c0683b5fc-385be7c794fe3cdc
NORMAL_GREEN,2025-03-21,LONG,SKIPPED_EXISTING_POSITION,CLOSED,2025-03-26T03:30:00-04:00,19782.399352381643,D3_0330_OPEN,2025-03-28T15:30:00-04:00,18789.417520564926,D5_CASH_CLOSE,-0.050195217179111795,0.00040263543191799105,0.05214738897022941,RELIABLE_YELLOW,2025-03-25,a85b8b7c0683b5fc-385be7c794fe3cdc
RELIABLE_YELLOW,2025-03-24,SHORT,TRADED,CLOSED,2025-03-25T03:30:00-04:00,19655.199200372066,D1_0330_OPEN,2025-03-25T16:30:00-04:00,19812.44079397504,SL,-0.007999999999999953,0.003205088846045292,0.008178502572667041,,,a85b8b7c0683b5fc-385be7c794fe3cdc
RELIABLE_YELLOW,2025-03-25,SHORT,TRADED,CLOSED,2025-03-26T03:30:00-04:00,19782.399352381643,D1_0330_OPEN,2025-03-26T09:30:00-04:00,19703.269754972116,TP,0.003999999999999995,0.008979990239140966,0.00040263543191799105,,,a85b8b7c0683b5fc-385be7c794fe3cdc
NORMAL_GREEN,2025-03-27,LONG,TRADED,CLOSED,2025-04-01T03:30:00-04:00,18746.93701439095,D3_0330_OPEN,2025-04-02T16:00:00-04:00,19215.610439750722,TP,0.02499999999999991,0.03227758465301906,0.008046864941418944,,,a85b8b7c0683b5fc-385be7c794fe3cdc
