signal_code,market_date,direction,triggered,status,entry_timestamp,entry_price,exit_timestamp,exit_price,exit_reason,return_pct,mfe_pct,mae_pct,benchmark,benchmark_directional_return_pct,directional_excess_vs_benchmark_pct,source_revision,source_hash,base_signal_code,feature_tier,production_action,feature_confirmation,MSFT_GEXChange,MSFT_GEX_ZScore,QQQ_GEX_Trending_Up,QQQ_GEX_ZScore_60day,QQQ_Is_Potential_Swing_Up,QQQ_Price_Above_SMA20,QQQ_TodayChange
MSFT_STRONG_BEARISH_CONTINUATION,2026-04-07,SHORT,True,FINAL,2026-04-08T07:30:00-04:00,384.74,2026-04-08T16:00:00-04:00,374.3,D1_REGULAR_SESSION_CLOSE,2.71352082,3.46207829,-0.32749389,QQQ,0.56782749,2.14569333,24afc63bf65a2d0a823ed3bbc856ac2454b07deac53567c22fb2b86793826381,c339d5494bbec6ae0e970cb926c29b8a0a9a1b825140c9071f9096d16878849c,MSFT_STRONG_BEARISH_CONTINUATION,BASE,PLAN_ENTRY,NOT_APPLICABLE,18.63,1.4888619113219892,1,1.1240960217365792,0,1,0.02
MSFT_STRONG_BEARISH_CONTINUATION,2026-04-09,SHORT,True,FINAL,2026-04-10T07:30:00-04:00,374.12,2026-04-10T16:00:00-04:00,370.87,D1_REGULAR_SESSION_CLOSE,0.86870523,1.09323212,-0.40628675,QQQ,0.03762781,0.83107742,c08136dade229199c6a7214668111bd5ec5f1c956baa141967e832e2cb026762,c339d5494bbec6ae0e970cb926c29b8a0a9a1b825140c9071f9096d16878849c,MSFT_STRONG_BEARISH_CONTINUATION,BASE,PLAN_ENTRY,NOT_APPLICABLE,38.56,1.805893426634982,1,1.927886943902809,0,1,0.68
MSFT_STRONG_BEARISH_CONTINUATION,2026-04-30,SHORT,True,FINAL,2026-05-01T07:30:00-04:00,409.42,2026-05-01T16:00:00-04:00,414.51,D1_REGULAR_SESSION_CLOSE,-1.24322212,0.10258414,-1.87826682,QQQ,-1.0583121,-0.18491002,9d73a25c8bf6e4dcb40f945f37267b23df65b63e5d1f76eea266ccfbda9bd9f6,c339d5494bbec6ae0e970cb926c29b8a0a9a1b825140c9071f9096d16878849c,MSFT_STRONG_BEARISH_CONTINUATION,BASE,PLAN_ENTRY,NOT_APPLICABLE,-39.85,-1.0633516665476284,1,1.4669247542772357,0,1,0.93
MSFT_STRONG_BEARISH_CONTINUATION,2026-05-12,SHORT,True,FINAL,2026-05-13T07:30:00-04:00,406.2,2026-05-13T16:00:00-04:00,405.09,D1_REGULAR_SESSION_CLOSE,0.2732644,1.27277203,-0.02461841,QQQ,-0.38638791,0.65965231,4e90e7603ef2e171e95ed6e5c70c3a629f34ed4130128325d6f3d2142f0036ba,c339d5494bbec6ae0e970cb926c29b8a0a9a1b825140c9071f9096d16878849c,MSFT_STRONG_BEARISH_CONTINUATION,BASE,PLAN_ENTRY,NOT_APPLICABLE,-26.38,-1.5412224628645697,0,0.5448154748918483,0,1,-0.85
MSFT_STRONG_BEARISH_CONTINUATION,2026-05-21,SHORT,True,FINAL,2026-05-22T07:30:00-04:00,419.36,2026-05-22T16:00:00-04:00,418.55,D1_REGULAR_SESSION_CLOSE,0.19315147,0.72014498,-1.20183136,QQQ,-0.2739458,0.46709727,aff0d948f850241c6b957556aa797f707b29d076326add46a9833ba1390f568c,c339d5494bbec6ae0e970cb926c29b8a0a9a1b825140c9071f9096d16878849c,MSFT_STRONG_BEARISH_CONTINUATION,BASE,PLAN_ENTRY,NOT_APPLICABLE,22.28,1.5119700053450758,0,0.5238679345441416,0,1,0.19
MSFT_STRONG_BEARISH_CONTINUATION,2026-06-08,SHORT,True,FINAL,2026-06-09T07:30:00-04:00,410.26,2026-06-09T16:00:00-04:00,403.2,D1_REGULAR_SESSION_CLOSE,1.72085994,2.86647492,-0.4119339,QQQ,1.93666362,-0.21580368,21e710f363286f51ed56c53bda8f4f5e0bc2f59f2aac16abfbe606eaaacbe59d,c339d5494bbec6ae0e970cb926c29b8a0a9a1b825140c9071f9096d16878849c,MSFT_STRONG_BEARISH_CONTINUATION,BASE,PLAN_ENTRY,NOT_APPLICABLE,-16.72,-1.189339854552263,0,-0.7846304425982006,1,0,1.56
MSFT_STRONG_BEARISH_CONTINUATION,2026-06-11,SHORT,True,FINAL,2026-06-12T07:30:00-04:00,393.34,2026-06-12T16:00:00-04:00,390.69,D1_REGULAR_SESSION_CLOSE,0.67371739,2.81435908,-0.27457162,QQQ,-0.0513226,0.72503999,b1124a70855970c89780d5764794119efeed957a7856bd1368d860afa7f3b3ca,c339d5494bbec6ae0e970cb926c29b8a0a9a1b825140c9071f9096d16878849c,MSFT_STRONG_BEARISH_CONTINUATION,BASE,PLAN_ENTRY,NOT_APPLICABLE,-16.44,-1.6610690353861322,0,0.0946190740987021,0,0,3.38
MSFT_STRONG_BEARISH_CONTINUATION,2026-07-14,SHORT,True,FINAL,2026-07-15T07:30:00-04:00,386.38,2026-07-15T16:00:00-04:00,395.6,D1_REGULAR_SESSION_CLOSE,-2.38625188,0.09576065,-3.25327398,QQQ,0.7261913,-3.11244318,cacac227fd9496e02613bede08a4ca7edbf0d2db3d04ed11e833b5f99af72f64,c339d5494bbec6ae0e970cb926c29b8a0a9a1b825140c9071f9096d16878849c,MSFT_STRONG_BEARISH_CONTINUATION,BASE,PLAN_ENTRY,NOT_APPLICABLE,6.28,1.1300943050515233,1,-0.601589982069425,1,0,1.12
MSFT_STRONG_BEARISH_CONTINUATION,2026-07-22,SHORT,True,FINAL,2026-07-23T07:30:00-04:00,389.59,2026-07-23T16:00:00-04:00,381.5,D1_REGULAR_SESSION_CLOSE,2.07654201,3.00572397,-0.55956262,QQQ,1.51875989,0.55778211,a8ec8959f3c07859460a12fe309b92a643bc06dfb32e575ec7a20280b6158a4b,c339d5494bbec6ae0e970cb926c29b8a0a9a1b825140c9071f9096d16878849c,MSFT_STRONG_BEARISH_CONTINUATION,BASE,PLAN_ENTRY,NOT_APPLICABLE,-31.57,-0.4227987414621753,0,-0.5781311177907918,0,0,-0.51
MSFT_BULL_SHARE_COLLAPSE,2026-01-07,SHORT,True,FINAL,2026-01-08T07:30:00-05:00,480.65,2026-01-09T16:00:00-05:00,479.26,D2_REGULAR_SESSION_CLOSE,0.28919172,1.75387496,-0.39321752,QQQ,-0.63754617,0.92673789,fce7f4bc89f4ab26f0c5f87598744b0c3d65d8b120b8b7b465c3c102dcc9e357,c339d5494bbec6ae0e970cb926c29b8a0a9a1b825140c9071f9096d16878849c,MSFT_BULL_SHARE_COLLAPSE,BASE,PLAN_ENTRY,NOT_APPLICABLE,41.97,0.3821514100411238,0,0.68227874100971,0,1,0.1
