signal_code,market_date,direction,triggered,resolved,entry_timestamp,entry_price,exit_timestamp,exit_price,exit_reason,return_pct,source_revision,source_hash,feature__SafeGEXVolRank60,feature__QQQ_BB_Bandwidth
SOXL_HIGH_GEX_VOL_CONTINUATION,2026-07-27,LONG,True,True,2026-07-28T07:30:00-04:00,111.5,2026-07-30T16:00:00-04:00,115.07,D3_CLOSE,3.2017937219730896,bdfada1b2a64d7094330edce56f03323fdc8fc14658e3684d42b4f87b721a379,9f15b68b8cd64d45eef6de0f9ddbc0f557f1c7c77f8b889d2f172d95446ab791,0.9,0.0825328963929495
SOXL_HIGH_GEX_VOL_CONTINUATION,2026-07-28,LONG,True,True,2026-07-29T07:30:00-04:00,108.55,2026-07-31T16:00:00-04:00,114.61,D3_CLOSE,5.5826807922616295,9e3010097c39f6881f38d4bbb854e5d12e40a1d0c5fbe99da2270e7f2ae3e247,9f15b68b8cd64d45eef6de0f9ddbc0f557f1c7c77f8b889d2f172d95446ab791,0.95,0.0916955980814642
SOXL_HIGH_GEX_VOL_CONTINUATION,2026-07-29,LONG,True,True,2026-07-30T07:30:00-04:00,99.89,2026-08-03T16:00:00-04:00,116.72,D3_CLOSE,16.848533386725407,94243d8b1aab87ce27af6024b1a4f1fff74516bb3155c0c7e4df85edf94cd715,9f15b68b8cd64d45eef6de0f9ddbc0f557f1c7c77f8b889d2f172d95446ab791,1.0,0.1015155513583735
SOXL_HIGH_GEX_VOL_CONTINUATION,2026-07-30,LONG,True,True,2026-07-31T07:30:00-04:00,128.16,2026-08-04T16:00:00-04:00,140.15,D3_CLOSE,9.355493133583037,7f938dfb941f602832fcd1b50d528601865d68bbf4da1718b1c31dfedd72177e,9f15b68b8cd64d45eef6de0f9ddbc0f557f1c7c77f8b889d2f172d95446ab791,0.9833333333333333,0.1010663821933372
SOXL_HIGH_GEX_VOL_CONTINUATION,2026-07-31,LONG,True,True,2026-08-03T07:30:00-04:00,107.91,2026-08-05T16:00:00-04:00,131.61,D3_CLOSE,21.96274673338896,115b14b712787ee3abdadd3fa4bfc19e53422c30826151eca7d888006f2c52fa,9f15b68b8cd64d45eef6de0f9ddbc0f557f1c7c77f8b889d2f172d95446ab791,0.9833333333333333,0.101799892213359
SOXL_HIGH_GEX_VOL_CONTINUATION,2026-08-03,LONG,True,True,2026-08-04T07:30:00-04:00,130.52,2026-08-06T16:00:00-04:00,132.46,D3_CLOSE,1.4863622433343604,77b5d03077bdd6743f6d64fac0cef08fec432dcf64a1a286b8d87a29ddec9322,9f15b68b8cd64d45eef6de0f9ddbc0f557f1c7c77f8b889d2f172d95446ab791,0.9833333333333333,0.0976568495697239
SOXL_HIGH_GEX_VOL_CONTINUATION,2026-08-04,LONG,True,True,2026-08-05T07:30:00-04:00,134.45,2026-08-07T16:00:00-04:00,140.26,D3_CLOSE,4.321309036816667,e39fc4b55edd808844b39de6c0c607564acfdf97f45f259bdf8f148e1932c81b,9f15b68b8cd64d45eef6de0f9ddbc0f557f1c7c77f8b889d2f172d95446ab791,1.0,0.1016298131548292
SOXL_HIGH_GEX_VOL_CONTINUATION,2026-08-05,LONG,True,True,2026-08-06T07:30:00-04:00,129.24,2026-08-10T16:00:00-04:00,130.0,D3_CLOSE,0.5880532342927847,3e5a067dbaaf2222739df3b7ea408744e63bbc5b43add393a3dffa40692a2160,9f15b68b8cd64d45eef6de0f9ddbc0f557f1c7c77f8b889d2f172d95446ab791,0.9833333333333333,0.1029254404806816
SOXL_HIGH_GEX_VOL_CONTINUATION,2026-08-06,LONG,True,True,2026-08-07T07:30:00-04:00,137.9,2026-08-11T16:00:00-04:00,133.07,D3_CLOSE,-3.502538071065997,3739e15e2b5ce57717b1c2838546d4275fd2de51226171ff0aded9ce481607e7,9f15b68b8cd64d45eef6de0f9ddbc0f557f1c7c77f8b889d2f172d95446ab791,0.9833333333333333,0.1003245457612447
SOXL_HIGH_GEX_VOL_CONTINUATION,2026-08-07,LONG,True,True,2026-08-10T07:30:00-04:00,143.65,2026-08-12T16:00:00-04:00,142.23,D3_CLOSE,-0.9885137486947526,b4128caf6631142830b488a6f0e8efd94fc72e3c72e0693d3323b82642fb7ed3,9f15b68b8cd64d45eef6de0f9ddbc0f557f1c7c77f8b889d2f172d95446ab791,1.0,0.0993243025562299
