signal_code,market_date,direction,triggered,status,entry_timestamp,entry_price,exit_timestamp,exit_price,exit_reason,return_pct,mfe_pct,mae_pct,benchmark,benchmark_directional_return_pct,directional_excess_vs_benchmark_pct,source_revision,source_hash,base_signal_code,feature_tier,production_action,feature_confirmation,MU_GEXChange,MU_GEX_ZScore,QQQ_GEX_Trending_Up,QQQ_GEX_ZScore_60day,QQQ_Is_Potential_Swing_Up,QQQ_Price_Above_SMA20,QQQ_TodayChange
MU_DOWN_DAY_INTENT_REVERSAL_WEAK,2026-01-05,LONG,True,FINAL,2026-01-06T07:30:00-05:00,315.85,2026-01-12T16:00:00-05:00,345.82,D5_REGULAR_SESSION_CLOSE,9.48868134,10.32768719,-0.41475384,QQQ,1.35585003,8.1328313,e1291d2bf26ae7519d2ae6adac528030ae6206e000da5fcafd011de8b8175c20,12fef13064300ae5b1624204a8f10db6bcc89cae866808a1b221c78028f912ae,MU_DOWN_DAY_INTENT_REVERSAL,WEAK,WATCH,NOT(QQQ.GEX_Trending_Up == 1 OR MU.GEX_ZScore < -1.0),-4.0,-0.3806489203725003,0.0,0.2489935576691852,0.0,0.0,0.79
MU_DOWN_DAY_INTENT_REVERSAL_WEAK,2026-01-08,LONG,True,FINAL,2026-01-09T07:30:00-05:00,330.25,2026-01-15T16:00:00-05:00,336.62,D5_REGULAR_SESSION_CLOSE,1.92884179,6.35276306,-1.85919758,QQQ,-0.01769143,1.94653322,5f0ca271a18c28cb92140bc20920213eab195a7f22b0bfe9d4fabc91802d130d,12fef13064300ae5b1624204a8f10db6bcc89cae866808a1b221c78028f912ae,MU_DOWN_DAY_INTENT_REVERSAL,WEAK,WATCH,NOT(QQQ.GEX_Trending_Up == 1 OR MU.GEX_ZScore < -1.0),16.24,-0.1540732553214076,0.0,0.2447601709380815,0.0,1.0,-0.57
MU_DOWN_DAY_INTENT_REVERSAL_HIGH,2026-01-13,LONG,True,FINAL,2026-01-14T07:30:00-05:00,335.36,2026-01-21T16:00:00-05:00,388.93,D5_REGULAR_SESSION_CLOSE,15.97387882,17.54532443,-2.13501908,QQQ,-1.11703152,17.09091034,25d3316abd977d6365f57474ac88fab13cecacd2dd68dab093e82a20b48c2a58,12fef13064300ae5b1624204a8f10db6bcc89cae866808a1b221c78028f912ae,MU_DOWN_DAY_INTENT_REVERSAL,HIGH,PLAN_ENTRY,QQQ.GEX_Trending_Up == 1 OR MU.GEX_ZScore < -1.0,-44.5,-1.0819281480157097,1.0,0.9087187280224828,0.0,1.0,-0.15
MU_DOWN_DAY_INTENT_REVERSAL_HIGH,2026-01-14,LONG,True,FINAL,2026-01-15T07:30:00-05:00,343.05,2026-01-22T16:00:00-05:00,397.58,D5_REGULAR_SESSION_CLOSE,15.89564203,17.63591313,-2.99664772,QQQ,-0.58134879,16.47699083,7802635a9da8004a9ad42f841c7d3f84791fc98d360585257387d9a6a34493c6,12fef13064300ae5b1624204a8f10db6bcc89cae866808a1b221c78028f912ae,MU_DOWN_DAY_INTENT_REVERSAL,HIGH,PLAN_ENTRY,QQQ.GEX_Trending_Up == 1 OR MU.GEX_ZScore < -1.0,-51.72,-1.1968074348237143,1.0,0.3021483673824949,0.0,1.0,-1.07
MU_DOWN_DAY_INTENT_REVERSAL_WEAK,2026-02-03,LONG,True,FINAL,2026-02-04T07:30:00-05:00,417.83,2026-02-10T16:00:00-05:00,373.13,D5_REGULAR_SESSION_CLOSE,-10.69813082,1.82131489,-12.93109638,QQQ,-0.7692058,-9.92892502,2795d522bcacab3c4493b90623e7c4a9f0c3ccd4a089c76838da3886ae25b9fa,12fef13064300ae5b1624204a8f10db6bcc89cae866808a1b221c78028f912ae,MU_DOWN_DAY_INTENT_REVERSAL,WEAK,WATCH,NOT(QQQ.GEX_Trending_Up == 1 OR MU.GEX_ZScore < -1.0),-38.0,-0.7480646208388535,0.0,-0.7888882073352875,0.0,0.0,-1.54
MU_DOWN_DAY_INTENT_REVERSAL_HIGH,2026-02-04,LONG,True,FINAL,2026-02-05T07:30:00-05:00,371.2,2026-02-11T16:00:00-05:00,410.38,D5_REGULAR_SESSION_CLOSE,10.5549569,11.57327586,-1.99353448,QQQ,1.57078473,8.98417217,b62b2238fe42b8634f8c389c503064358319698d59993489ac30199b02c581e2,12fef13064300ae5b1624204a8f10db6bcc89cae866808a1b221c78028f912ae,MU_DOWN_DAY_INTENT_REVERSAL,HIGH,PLAN_ENTRY,QQQ.GEX_Trending_Up == 1 OR MU.GEX_ZScore < -1.0,-265.52,-2.458734015308536,0.0,-1.614683985373268,0.0,0.0,-1.75
MU_DOWN_DAY_INTENT_REVERSAL_HIGH,2026-02-09,LONG,True,FINAL,2026-02-10T07:30:00-05:00,377.5,2026-02-17T16:00:00-05:00,399.85,D5_REGULAR_SESSION_CLOSE,5.9205298,16.23046358,-3.03046358,QQQ,-2.45010547,8.37063527,548e73b0b7ae98d8211fc47fe8f2159093b84ea47583eadfdb44c50b793a9d7e,12fef13064300ae5b1624204a8f10db6bcc89cae866808a1b221c78028f912ae,MU_DOWN_DAY_INTENT_REVERSAL,HIGH,PLAN_ENTRY,QQQ.GEX_Trending_Up == 1 OR MU.GEX_ZScore < -1.0,-255.23,-1.1721670878397277,0.0,-0.7531554064202197,0.0,0.0,0.77
MU_DOWN_DAY_INTENT_REVERSAL_HIGH,2026-02-10,LONG,True,FINAL,2026-02-11T07:30:00-05:00,384.72,2026-02-18T16:00:00-05:00,420.96,D5_REGULAR_SESSION_CLOSE,9.4198378,14.04917862,-3.21532543,QQQ,-1.10536026,10.52519807,09865d36e96e9e7d91bcf81f96b2fb273c61e53f1c5f8959643fccb5134a1b4a,12fef13064300ae5b1624204a8f10db6bcc89cae866808a1b221c78028f912ae,MU_DOWN_DAY_INTENT_REVERSAL,HIGH,PLAN_ENTRY,QQQ.GEX_Trending_Up == 1 OR MU.GEX_ZScore < -1.0,108.29,-1.3840509084939696,0.0,-1.4538050745020576,0.0,0.0,-0.46
MU_DOWN_DAY_INTENT_REVERSAL_WEAK,2026-02-13,LONG,True,FINAL,2026-02-17T07:30:00-05:00,402.5,2026-02-23T16:00:00-05:00,421.19,D5_REGULAR_SESSION_CLOSE,4.64347826,7.25465839,-1.96273292,QQQ,0.66109893,3.98237933,70b32ca4a006b800e5bb38884f3d5d0626f4b0f88edb0763cf87a154c87d4742,12fef13064300ae5b1624204a8f10db6bcc89cae866808a1b221c78028f912ae,MU_DOWN_DAY_INTENT_REVERSAL,WEAK,WATCH,NOT(QQQ.GEX_Trending_Up == 1 OR MU.GEX_ZScore < -1.0),-67.96,-0.1772826910719941,0.0,-1.8770880330859825,1.0,0.0,0.21
MU_DOWN_DAY_INTENT_REVERSAL_WEAK,2026-02-17,LONG,True,FINAL,2026-02-18T07:30:00-05:00,402.15,2026-02-24T16:00:00-05:00,418.17,D5_REGULAR_SESSION_CLOSE,3.98358821,8.48439637,-1.87740893,QQQ,0.58582114,3.39776707,bd449a09cd23558e405865a4547582d1d9f63479b83efaf494a6bf36326150d1,12fef13064300ae5b1624204a8f10db6bcc89cae866808a1b221c78028f912ae,MU_DOWN_DAY_INTENT_REVERSAL,WEAK,WATCH,NOT(QQQ.GEX_Trending_Up == 1 OR MU.GEX_ZScore < -1.0),23.2,-0.0551170347610165,0.0,-1.7796682223333635,0.0,0.0,-0.1
