signal_code,market_date,direction,triggered,resolved,entry_timestamp,entry_price,exit_timestamp,exit_price,exit_reason,return_pct,source_revision,source_hash,feature__SCShareRank60,feature__PX_WholeDayRet,feature__PX_RTHRet
COHR_CONTROLLED_SC_INTRADAY_EXHAUSTION,2026-07-20,SHORT,True,True,2026-07-21T07:30:00-04:00,305.09,2026-07-27T16:00:00-04:00,271.31,D5_CLOSE,11.072142646432193,bb4f9842ee3d25d81ac473f32e6486e87939c1adbcff2824a9dba3c84011e5ef,664ba4d9c7ca5115aff398b108fd3ecd03b273872d9275298e922a7ce6b7dcd1,0.017857142857142856,1.451841359773387,-1.1397886714013428
COHR_CONTROLLED_SC_INTRADAY_EXHAUSTION,2026-07-21,SHORT,True,True,2026-07-22T07:30:00-04:00,307.91,2026-07-28T16:00:00-04:00,243.33,D5_CLOSE,20.973661134747168,50a37f5f9e783e15a1d0de503e46b3400a605aea6ee515da6d6e1ffe1ba138ab,664ba4d9c7ca5115aff398b108fd3ecd03b273872d9275298e922a7ce6b7dcd1,0.5892857142857143,7.839838492597573,3.2350452385601747
COHR_CONTROLLED_SC_INTRADAY_EXHAUSTION,2026-07-23,SHORT,True,True,2026-07-24T07:30:00-04:00,310.91,2026-07-30T16:00:00-04:00,249.06,D5_CLOSE,19.893216686500924,36cb6a9f1777cf229edd4f01d35ed09018cf94a93ee8da899c8e77514727ad6a,664ba4d9c7ca5115aff398b108fd3ecd03b273872d9275298e922a7ce6b7dcd1,0.44642857142857145,-0.8945787893156476,1.470492971432269
COHR_CONTROLLED_SC_INTRADAY_EXHAUSTION,2026-08-03,SHORT,True,True,2026-08-04T07:30:00-04:00,343.06,2026-08-10T16:00:00-04:00,325.18,D5_CLOSE,5.211916282865969,63717f00f0cafba11409ca0ad5042696ef9528c6991c5ac6406c29d3ec55c83b,664ba4d9c7ca5115aff398b108fd3ecd03b273872d9275298e922a7ce6b7dcd1,0.26785714285714285,8.705621301775146,13.128776583222157
COHR_CONTROLLED_SC_INTRADAY_EXHAUSTION,2026-08-06,SHORT,True,True,2026-08-07T07:30:00-04:00,356.14,2026-08-13T16:00:00-04:00,327.31,D5_CLOSE,8.095131128208,5ecaec0cc2defa9c17acf2b6b97afdb456360d617c24b2a6d122ab343e0e1846,664ba4d9c7ca5115aff398b108fd3ecd03b273872d9275298e922a7ce6b7dcd1,0.21428571428571427,5.947692307692298,6.363404851340171
COHR_CONTROLLED_SC_INTRADAY_EXHAUSTION,2026-08-11,SHORT,True,True,2026-08-12T07:30:00-04:00,347.29,2026-08-18T16:00:00-04:00,306.12,D5_CLOSE,11.854645973106049,f90b0d8a96a01853d2a88d4cd4a61101093b555b93ef1372798600a4330290e3,664ba4d9c7ca5115aff398b108fd3ecd03b273872d9275298e922a7ce6b7dcd1,0.26785714285714285,3.667136812411864,1.4728586426233425
COHR_CONTROLLED_SC_INTRADAY_EXHAUSTION,2026-08-12,SHORT,True,True,2026-08-13T07:30:00-04:00,337.8,2026-08-19T16:00:00-04:00,287.36,D5_CLOSE,14.931912374185908,bd3bb50cc0b2071a4b59d1056eac09089736a7072175cb435393190e07bd8686,664ba4d9c7ca5115aff398b108fd3ecd03b273872d9275298e922a7ce6b7dcd1,0.23214285714285715,0.4325108853410864,-0.6031160998492102
COHR_CONTROLLED_SC_INTRADAY_EXHAUSTION,2026-08-14,SHORT,True,True,2026-08-17T07:30:00-04:00,333.73,2026-08-21T16:00:00-04:00,289.37,D5_CLOSE,13.292182303059363,17bf29c93ea2f309a606ff196d30ba3c30b5df41eebdbe690f72e3d9b954072f,664ba4d9c7ca5115aff398b108fd3ecd03b273872d9275298e922a7ce6b7dcd1,0.17857142857142858,-0.2591463414634232,-0.8278044920567162
COHR_CONTROLLED_SC_INTRADAY_EXHAUSTION,2026-08-17,SHORT,True,True,2026-08-18T07:30:00-04:00,332.0,2026-08-24T16:00:00-04:00,275.51,D5_CLOSE,17.01506024096385,263d151ebfc16aa4b9b9c52ec3d1d0e78267e32dcc8196aced3f3704b25e676c,664ba4d9c7ca5115aff398b108fd3ecd03b273872d9275298e922a7ce6b7dcd1,0.5535714285714286,5.047035986262505,5.238066682657716
COHR_CONTROLLED_SC_INTRADAY_EXHAUSTION,2026-08-20,SHORT,True,False,2026-08-21T07:30:00-04:00,297.55,,,UNRESOLVED_REQUIRED_BAR_NOT_YET_AVAILABLE,,4086ba8d252bcd1e9d3139984f27b4450ed2ec6e0b0b951392dbdb74215e3fc2,664ba4d9c7ca5115aff398b108fd3ecd03b273872d9275298e922a7ce6b7dcd1,0.19642857142857142,-1.3887941035965357,-0.5316412279197436
COHR_CONTROLLED_SC_INTRADAY_EXHAUSTION,2026-08-24,SHORT,True,False,2026-08-25T07:30:00-04:00,284.6,,,UNRESOLVED_REQUIRED_BAR_NOT_YET_AVAILABLE,,7b14cec5390ef7e25c4d7900c8ee73c32465b0a75f84c9e824dcc588c09ed1c6,664ba4d9c7ca5115aff398b108fd3ecd03b273872d9275298e922a7ce6b7dcd1,0.23214285714285715,-1.6245487364620947,0.07628042135852109
COHR_CONTROLLED_SC_INTRADAY_EXHAUSTION,2026-08-25,SHORT,True,False,2026-08-26T07:30:00-04:00,287.5,,,UNRESOLVED_REQUIRED_BAR_NOT_YET_AVAILABLE,,40e99ff78c3fd54a1b41faa1e8278281920ee174e83fc0d2205b5a15ab0ffecd,664ba4d9c7ca5115aff398b108fd3ecd03b273872d9275298e922a7ce6b7dcd1,0.125,2.5142857142857133,0.39004004875500264
