signal_code,market_date,direction,triggered,resolved,entry_timestamp,entry_price,exit_timestamp,exit_price,exit_reason,return_pct,source_revision,source_hash,feature__SafeGEXVolRank60,feature__NASDAQ_chg5
GDX_GEX_VOL_WEAK_NASDAQ_REVERSAL,2026-02-04,LONG,True,True,2026-02-05T07:30:00-05:00,95.44,2026-02-11T16:00:00-05:00,105.96,D5_CLOSE,11.022632020117351,f6b2623640f744aeeb4ecf445e6ceaac1bb81109ab7e7ef30190c3bd13876009,f2b537d2325cc853ec1eadbafdcb92b272e1633c7eb2156050696303816c8516,0.45,-3.994010809839632
GDX_GEX_VOL_WEAK_NASDAQ_REVERSAL,2026-03-18,LONG,True,True,2026-03-19T07:30:00-04:00,82.33,2026-03-25T16:00:00-04:00,86.3,D5_CLOSE,4.822057573181104,36f5b384b22b30c610edafa2cf153a49e0a43bd4ba6bb54cc55b61ecf735dae8,f2b537d2325cc853ec1eadbafdcb92b272e1633c7eb2156050696303816c8516,0.6,-2.481544953590664
GDX_GEX_VOL_WEAK_NASDAQ_REVERSAL,2026-03-20,LONG,True,True,2026-03-23T07:30:00-04:00,80.25,2026-03-27T16:00:00-04:00,85.73,D5_CLOSE,6.8286604361370795,aa6847beec84569e9beb8077c82a48eec7072d84068eca11c67ada4830125b50,f2b537d2325cc853ec1eadbafdcb92b272e1633c7eb2156050696303816c8516,0.8166666666666667,-2.070764793808333
GDX_GEX_VOL_WEAK_NASDAQ_REVERSAL,2026-03-23,LONG,True,True,2026-03-24T07:30:00-04:00,82.96,2026-03-30T16:00:00-04:00,85.82,D5_CLOSE,3.4474445515911167,1e18b1241eec6dbe305a7d3eeb14d62b519943bba956395001af5a7cdac27da2,f2b537d2325cc853ec1eadbafdcb92b272e1633c7eb2156050696303816c8516,0.7666666666666667,-1.9103265716597484
GDX_GEX_VOL_WEAK_NASDAQ_REVERSAL,2026-03-24,LONG,True,True,2026-03-25T07:30:00-04:00,88.76,2026-03-31T16:00:00-04:00,91.75,D5_CLOSE,3.36863452005407,91a4c259c934000cc17ebd19c89b5ee60effc6a0a63318c4323cce272bf1283d,f2b537d2325cc853ec1eadbafdcb92b272e1633c7eb2156050696303816c8516,0.6333333333333333,-3.192409816161046
GDX_GEX_VOL_WEAK_NASDAQ_REVERSAL,2026-03-25,LONG,True,True,2026-03-26T07:30:00-04:00,83.44,2026-04-01T16:00:00-04:00,95.96,D5_CLOSE,15.004793863854271,c9d92ab9867dc75332f72ee10284b8c4d109afde698bab59ebc576496131a395,f2b537d2325cc853ec1eadbafdcb92b272e1633c7eb2156050696303816c8516,0.6333333333333333,-1.0048545531587738
GDX_GEX_VOL_WEAK_NASDAQ_REVERSAL,2026-03-26,LONG,True,True,2026-03-27T07:30:00-04:00,82.97,2026-04-02T16:00:00-04:00,94.58,D5_CLOSE,13.99300952151381,a405c82aa8dbc0a160a086a23679b9e52f579a22df710a40b9ab95207841aaae,f2b537d2325cc853ec1eadbafdcb92b272e1633c7eb2156050696303816c8516,0.6,-3.0900321151134835
GDX_GEX_VOL_WEAK_NASDAQ_REVERSAL,2026-03-27,LONG,True,True,2026-03-30T07:30:00-04:00,87.18,2026-04-06T16:00:00-04:00,93.85,D5_CLOSE,7.650837348015593,375e5377bde118c8983e7d7e14e810667915de0f25fab089544691bcb41d4def,f2b537d2325cc853ec1eadbafdcb92b272e1633c7eb2156050696303816c8516,0.6333333333333333,-3.230148821883305
GDX_GEX_VOL_WEAK_NASDAQ_REVERSAL,2026-03-30,LONG,True,True,2026-03-31T07:30:00-04:00,87.78,2026-04-07T16:00:00-04:00,95.04,D5_CLOSE,8.270676691729339,561a88a7f4a0cadb1ff7dcbb2f532cfa3a87acf90f1573dcb1f893f7d5e2f1f9,f2b537d2325cc853ec1eadbafdcb92b272e1633c7eb2156050696303816c8516,0.65,-5.249609557398083
GDX_GEX_VOL_WEAK_NASDAQ_REVERSAL,2026-05-21,LONG,True,True,2026-05-22T07:30:00-04:00,85.3,2026-05-29T16:00:00-04:00,89.47,D5_CLOSE,4.888628370457204,74958680b42f3fe15311a71e178b34d602b7c088825b7c159332dd477b749ae2,f2b537d2325cc853ec1eadbafdcb92b272e1633c7eb2156050696303816c8516,0.8,-1.2844688011164118
