signal_code,market_date,direction,triggered,status,entry_timestamp,entry_price,exit_timestamp,exit_price,exit_reason,return_pct,mfe_pct,mae_pct,benchmark,benchmark_directional_return_pct,directional_excess_vs_benchmark_pct,source_revision,source_hash,base_signal_code,feature_tier,production_action,feature_confirmation,GDX_GEXChange,GDX_GEX_ZScore,SPY_GEX_Trending_Up,SPY_GEX_ZScore_60day,SPY_Is_Potential_Swing_Up,SPY_Price_Above_SMA20,SPY_TodayChange
GDX_CALL_BUY_SHARE_SURGE_STANDARD,2026-02-26,LONG,True,FINAL,2026-02-27T07:30:00-05:00,113.76,2026-03-05T16:00:00-05:00,101.53,D5_REGULAR_SESSION_CLOSE,-10.75070323,5.70499297,-12.50879044,SPY,-0.73128806,-10.01941518,c85f07dc2e87c069a20b96ea4c9af56b255f52dc44de8bad5eb37b99f61d9fe4,e99e485f5feb319e4e1dcd31dcd50e85c192c7850189aef9c9441e6b7881bc50,GDX_CALL_BUY_SHARE_SURGE,STANDARD,PLAN_ENTRY,NOT(SPY.Price_Above_SMA20 == 0),8.33,1.278791864655809,0,-0.802001332045577,0,1,-0.56
GDX_CALL_BUY_SHARE_SURGE_HIGH,2026-03-18,LONG,True,FINAL,2026-03-19T07:30:00-04:00,82.33,2026-03-25T16:00:00-04:00,86.3,D5_REGULAR_SESSION_CLOSE,4.82205757,7.95578768,-10.90732418,SPY,-0.46679397,5.28885155,0717b93797ec1937df5e3f9b9209fec1ccbfe1817dd4025ef1a31a70df444a5c,e99e485f5feb319e4e1dcd31dcd50e85c192c7850189aef9c9441e6b7881bc50,GDX_CALL_BUY_SHARE_SURGE,HIGH,PLAN_ENTRY,SPY.Price_Above_SMA20 == 0,-902.57,-2.3267158218464856,0,-2.2580803954048254,0,0,-1.4
GDX_CALL_BUY_SHARE_SURGE_HIGH,2026-03-24,LONG,True,FINAL,2026-03-25T07:30:00-04:00,88.76,2026-03-31T16:00:00-04:00,91.75,D5_REGULAR_SESSION_CLOSE,3.36863452,3.40243353,-7.5033799,SPY,-1.38166376,4.75029828,2b2f8e5acb21b9ed9eda0d342ee5b2c7549452dc636d271d9e56becdd8b4f66e,e99e485f5feb319e4e1dcd31dcd50e85c192c7850189aef9c9441e6b7881bc50,GDX_CALL_BUY_SHARE_SURGE,HIGH,PLAN_ENTRY,SPY.Price_Above_SMA20 == 0,77.44,-0.0191672714124056,0,-1.1947131386870966,0,0,-0.34
GDX_CALL_BUY_SHARE_SURGE_HIGH,2026-03-27,LONG,True,FINAL,2026-03-30T07:30:00-04:00,87.18,2026-04-06T16:00:00-04:00,93.85,D5_REGULAR_SESSION_CLOSE,7.65083735,12.07845836,-2.81027759,SPY,3.09663892,4.55419843,5cbe35ab6ef1e8af7c075f41e2107deb2438bfea2fd71293ab67450e9cc67bb4,e99e485f5feb319e4e1dcd31dcd50e85c192c7850189aef9c9441e6b7881bc50,GDX_CALL_BUY_SHARE_SURGE,HIGH,PLAN_ENTRY,SPY.Price_Above_SMA20 == 0,261.49,0.2775532927790342,0,-1.935570171513889,0,0,-1.71
GDX_CALL_BUY_SHARE_SURGE_HIGH,2026-04-01,LONG,True,FINAL,2026-04-02T07:30:00-04:00,90.4,2026-04-09T16:00:00-04:00,98.34,D5_REGULAR_SESSION_CLOSE,8.78318584,12.46681416,-0.5420354,SPY,5.32773552,3.45545032,190de8f3361cb65f8c5fd388010e9f494db0c7de2e0a120f59932a1c16c05dbe,e99e485f5feb319e4e1dcd31dcd50e85c192c7850189aef9c9441e6b7881bc50,GDX_CALL_BUY_SHARE_SURGE,HIGH,PLAN_ENTRY,SPY.Price_Above_SMA20 == 0,4.83,1.239474272302678,0,-0.2051487183912073,0,0,0.75
GDX_CALL_BUY_SHARE_SURGE_STANDARD,2026-04-10,LONG,True,FINAL,2026-04-13T07:30:00-04:00,97.67,2026-04-17T16:00:00-04:00,100.37,D5_REGULAR_SESSION_CLOSE,2.76441077,4.83259957,-0.60407495,SPY,5.10858141,-2.34417064,c3d9ec1980b0ca6df385d159d317c8f9481214b8055db5b0a0363ddf56c633b6,e99e485f5feb319e4e1dcd31dcd50e85c192c7850189aef9c9441e6b7881bc50,GDX_CALL_BUY_SHARE_SURGE,STANDARD,PLAN_ENTRY,NOT(SPY.Price_Above_SMA20 == 0),-43.9,0.7509776775926411,1,1.245360145310727,0,1,-0.07
GDX_CALL_BUY_SHARE_SURGE_STANDARD,2026-05-11,LONG,True,FINAL,2026-05-12T07:30:00-04:00,95.66,2026-05-18T16:00:00-04:00,87.16,D5_REGULAR_SESSION_CLOSE,-8.88563663,1.98620113,-9.70102446,SPY,0.3232905,-9.20892713,7d779ae1ef67d17ed36d3382b5c80d4c33dbf9be311f1c722d3471e9d5c97070,e99e485f5feb319e4e1dcd31dcd50e85c192c7850189aef9c9441e6b7881bc50,GDX_CALL_BUY_SHARE_SURGE,STANDARD,PLAN_ENTRY,NOT(SPY.Price_Above_SMA20 == 0),1.54,1.1913110681226644,0,0.8868846579569722,0,1,0.23
GDX_CALL_BUY_SHARE_SURGE_STANDARD,2026-05-28,LONG,True,FINAL,2026-05-29T07:30:00-04:00,87.59,2026-06-04T16:00:00-04:00,86.37,D5_REGULAR_SESSION_CLOSE,-1.39285307,3.16246147,-3.66480192,SPY,0.15744073,-1.55029379,2fe57cef76e8d9aef0f2347d77ef0c4f660e67741fbc59c460d8e323349f2c85,e99e485f5feb319e4e1dcd31dcd50e85c192c7850189aef9c9441e6b7881bc50,GDX_CALL_BUY_SHARE_SURGE,STANDARD,PLAN_ENTRY,NOT(SPY.Price_Above_SMA20 == 0),110.19,2.241932506754975,1,1.1503091931099745,0,1,0.55
GDX_CALL_BUY_SHARE_SURGE_STANDARD,2026-06-04,LONG,True,FINAL,2026-06-05T07:30:00-04:00,85.66,2026-06-11T16:00:00-04:00,77.78,D5_REGULAR_SESSION_CLOSE,-9.19915947,0.19845902,-14.55755312,SPY,-2.21117518,-6.98798428,cd9e54f04cdf47b31f73202f0b490caded43e64f4151eee15ead0c5797424902,e99e485f5feb319e4e1dcd31dcd50e85c192c7850189aef9c9441e6b7881bc50,GDX_CALL_BUY_SHARE_SURGE,STANDARD,PLAN_ENTRY,NOT(SPY.Price_Above_SMA20 == 0),245.89,0.0673895410506564,0,0.6108878009923705,1,1,0.38
GDX_CALL_BUY_SHARE_SURGE_HIGH,2026-06-11,LONG,True,FINAL,2026-06-12T07:30:00-04:00,78.56,2026-06-18T16:00:00-04:00,82.53,D5_REGULAR_SESSION_CLOSE,5.05346232,14.549389,-1.09470468,SPY,0.59961732,4.453845,7cb3151c6a9cbea265c1750785893a28b8e2d44704a26ef2abb5f6ec40310781,e99e485f5feb319e4e1dcd31dcd50e85c192c7850189aef9c9441e6b7881bc50,GDX_CALL_BUY_SHARE_SURGE,HIGH,PLAN_ENTRY,SPY.Price_Above_SMA20 == 0,-180.58,-0.0550644563702665,0,0.0713258624724151,0,0,1.7
GDX_CALL_BUY_SHARE_SURGE_STANDARD,2026-07-02,LONG,True,FINAL,2026-07-06T07:30:00-04:00,79.85,2026-07-10T16:00:00-04:00,75.55,D5_REGULAR_SESSION_CLOSE,-5.38509706,0.41327489,-9.9686913,SPY,0.89280941,-6.27790647,fd633cf6f542d3aacb4b75712281fe82511d1e5dac389199dac32eeeb141869c,e99e485f5feb319e4e1dcd31dcd50e85c192c7850189aef9c9441e6b7881bc50,GDX_CALL_BUY_SHARE_SURGE,STANDARD,PLAN_ENTRY,NOT(SPY.Price_Above_SMA20 == 0),37.6,1.1283805200901365,1,-0.2279279686833856,0,1,-0.13
GDX_CALL_BUY_SHARE_SURGE_STANDARD,2026-07-07,LONG,True,FINAL,2026-07-08T07:30:00-04:00,73.81,2026-07-14T16:00:00-04:00,74.87,D5_REGULAR_SESSION_CLOSE,1.43611977,4.1322314,-2.60127354,SPY,1.50529215,-0.06917238,49a7bc3b475802501353b41b273f569ade384c6f14922e742f479171ce16def8,e99e485f5feb319e4e1dcd31dcd50e85c192c7850189aef9c9441e6b7881bc50,GDX_CALL_BUY_SHARE_SURGE,STANDARD,PLAN_ENTRY,NOT(SPY.Price_Above_SMA20 == 0),-65.14,-0.1132461212181423,1,0.1070117661883366,0,1,-0.48
GDX_CALL_BUY_SHARE_SURGE_STANDARD,2026-07-13,LONG,True,FINAL,2026-07-14T07:30:00-04:00,73.98,2026-07-20T16:00:00-04:00,70.74,D5_REGULAR_SESSION_CLOSE,-4.37956204,3.89294404,-5.73127872,SPY,-0.76377669,-3.61578536,469c26d23b3ef1089a8ee908446e8cad13d849111d7786629d7e1a9cef96e516,e99e485f5feb319e4e1dcd31dcd50e85c192c7850189aef9c9441e6b7881bc50,GDX_CALL_BUY_SHARE_SURGE,STANDARD,PLAN_ENTRY,NOT(SPY.Price_Above_SMA20 == 0),-77.29,-0.8662488306055363,1,-0.57333757275839,0,1,-0.77
GDX_CALL_BUY_SHARE_SURGE_HIGH,2026-07-17,LONG,True,FINAL,2026-07-20T07:30:00-04:00,71.62,2026-07-24T16:00:00-04:00,75.21,D5_REGULAR_SESSION_CLOSE,5.01256632,8.89416364,-1.48003351,SPY,-1.03499129,6.04755761,81213dfcc6294da553aff30d31def2ee8f1ba7e1bb62a089923aa96746d935c3,e99e485f5feb319e4e1dcd31dcd50e85c192c7850189aef9c9441e6b7881bc50,GDX_CALL_BUY_SHARE_SURGE,HIGH,PLAN_ENTRY,SPY.Price_Above_SMA20 == 0,-178.93,0.3622723668762679,1,-1.821645699852676,0,0,-0.99
GDX_CALL_BUY_SHARE_SURGE_HIGH,2026-07-23,LONG,True,FINAL,2026-07-24T07:30:00-04:00,75.65,2026-07-30T16:00:00-04:00,76.74,D5_REGULAR_SESSION_CLOSE,1.440846,1.99603437,-4.52081956,SPY,0.22024944,1.22059657,632180fc91f1df9922718c098a913daa2ca24f96f1dbc466eda4e00c7c15693d,e99e485f5feb319e4e1dcd31dcd50e85c192c7850189aef9c9441e6b7881bc50,GDX_CALL_BUY_SHARE_SURGE,HIGH,PLAN_ENTRY,SPY.Price_Above_SMA20 == 0,66.06,2.473154670101088,0,-2.06990026745909,0,0,-1.23
GDX_CALL_BUY_SHARE_SURGE_HIGH,2026-07-29,LONG,True,FINAL,2026-07-30T07:30:00-04:00,75.0,2026-08-05T16:00:00-04:00,83.67,D5_REGULAR_SESSION_CLOSE,11.56,12.41333333,-1.89333333,SPY,5.06339457,6.49660543,3ecbd5d33d0d5a059c28239cd592266a70636fd4db566effd0657fdc76dc8c59,e99e485f5feb319e4e1dcd31dcd50e85c192c7850189aef9c9441e6b7881bc50,GDX_CALL_BUY_SHARE_SURGE,HIGH,PLAN_ENTRY,SPY.Price_Above_SMA20 == 0,15.71,-0.3955190019323137,0,-3.1932923422015835,0,0,-1.54
GDX_CALL_BUY_SHARE_SURGE_STANDARD,2026-07-31,LONG,True,FINAL,2026-08-03T07:30:00-04:00,74.95,2026-08-07T16:00:00-04:00,89.88,D5_REGULAR_SESSION_CLOSE,19.91994663,20.82721815,-1.77451634,SPY,2.90675224,17.01319439,0ae1c296f03d0fca8f67385846ad1a99846ed6f486b008f21cd92b0d85c7c553,e99e485f5feb319e4e1dcd31dcd50e85c192c7850189aef9c9441e6b7881bc50,GDX_CALL_BUY_SHARE_SURGE,STANDARD,PLAN_ENTRY,NOT(SPY.Price_Above_SMA20 == 0),-62.0,0.0887290351336325,0,0.6274413086555048,0,1,0.72
