signal_code,market_date,direction,triggered,resolved,entry_timestamp,entry_price,exit_timestamp,exit_price,exit_reason,return_pct,source_revision,source_hash,feature__PutBuyShareChgAbsRank60,feature__BuyCall_GEXDeltaPerc_Rank60
ORCL_PUT_FLOW_ROTATION_BREAKDOWN,2026-02-03,SHORT,True,True,2026-02-04T07:30:00-05:00,154.4,2026-02-06T16:00:00-05:00,142.8,D3_CLOSE,7.512953367875641,0ed647db77dacd1b19e968ae6d9ebbfa963abde2e9266471f2d942915d23884e,9d356b6e02703d8052487c1ad4b7fc679e77bbf5b69fa552463af9a331fe3161,0.8448275862068966,0.22807017543859648
ORCL_PUT_FLOW_ROTATION_BREAKDOWN,2026-02-10,SHORT,True,True,2026-02-11T07:30:00-05:00,161.12,2026-02-13T16:00:00-05:00,160.05,D3_CLOSE,0.6641012909632482,017f9581d4b7917e4003b9a3928dc0915b42e0b57fc929afc9fb5b8da0b96c35,9d356b6e02703d8052487c1ad4b7fc679e77bbf5b69fa552463af9a331fe3161,0.75,0.14035087719298245
ORCL_PUT_FLOW_ROTATION_BREAKDOWN,2026-02-11,SHORT,True,True,2026-02-12T07:30:00-05:00,158.39,2026-02-17T16:00:00-05:00,154.0,D3_CLOSE,2.7716396237136065,0ceb8f36613906367951ec8c82144c0a1b09229f331a55d737faf7ee0c49d8a4,9d356b6e02703d8052487c1ad4b7fc679e77bbf5b69fa552463af9a331fe3161,0.8214285714285714,0.0
ORCL_PUT_FLOW_ROTATION_BREAKDOWN,2026-02-12,SHORT,True,True,2026-02-13T07:30:00-05:00,156.65,2026-02-18T16:00:00-05:00,156.17,D3_CLOSE,0.3064155761251297,9dc6eadd78685b582fbb2db38cea550aea2b4e22fa9058d636405e8e62defdc3,9d356b6e02703d8052487c1ad4b7fc679e77bbf5b69fa552463af9a331fe3161,0.9107142857142857,0.03508771929824561
ORCL_PUT_FLOW_ROTATION_BREAKDOWN,2026-02-17,SHORT,True,True,2026-02-18T07:30:00-05:00,155.17,2026-02-20T16:00:00-05:00,148.1,D3_CLOSE,4.5562930978926275,2c8f9c83b51fc3bdc30e049ec005a8291c9dcf51ae33f881fcfb60e5931cb8cb,9d356b6e02703d8052487c1ad4b7fc679e77bbf5b69fa552463af9a331fe3161,0.7142857142857143,0.0
ORCL_PUT_FLOW_ROTATION_BREAKDOWN,2026-02-19,SHORT,True,True,2026-02-20T07:30:00-05:00,155.47,2026-02-24T16:00:00-05:00,146.13,D3_CLOSE,6.007589888724518,c263d7b702ed69d1b8b02eda92e07d29d3c7b5fe40c885923916d08509e2bb6a,9d356b6e02703d8052487c1ad4b7fc679e77bbf5b69fa552463af9a331fe3161,0.75,0.43859649122807015
ORCL_PUT_FLOW_ROTATION_BREAKDOWN,2026-02-20,SHORT,True,True,2026-02-23T07:30:00-05:00,145.9,2026-02-25T16:00:00-05:00,147.9,D3_CLOSE,-1.3708019191226883,a4f9b61ba5f6f0ecfe270fcad010e33c2c83aea3b269ccd62a9db1199bbf6eed,9d356b6e02703d8052487c1ad4b7fc679e77bbf5b69fa552463af9a331fe3161,0.9285714285714286,0.07017543859649122
ORCL_PUT_FLOW_ROTATION_BREAKDOWN,2026-02-23,SHORT,True,True,2026-02-24T07:30:00-05:00,140.85,2026-02-26T16:00:00-05:00,150.32,D3_CLOSE,-6.723464678736235,e5065cc16836ce83edb59cac5374775cf94a2a8237edc087f0f90fc037227c10,9d356b6e02703d8052487c1ad4b7fc679e77bbf5b69fa552463af9a331fe3161,0.9285714285714286,0.19298245614035087
ORCL_PUT_FLOW_ROTATION_BREAKDOWN,2026-02-24,SHORT,True,True,2026-02-25T07:30:00-05:00,149.7,2026-02-27T16:00:00-05:00,145.35,D3_CLOSE,2.9058116232464903,b4a9138d571b8d503673d9e634d5a720c3cc47930975c688daf3de9f73f64799,9d356b6e02703d8052487c1ad4b7fc679e77bbf5b69fa552463af9a331fe3161,0.9107142857142857,0.2631578947368421
ORCL_PUT_FLOW_ROTATION_BREAKDOWN,2026-03-19,SHORT,True,True,2026-03-20T07:30:00-04:00,153.93,2026-03-24T16:00:00-04:00,147.14,D3_CLOSE,4.41109595270579,335c9b9a638c0ebaf186532449206854e10507e45978c134dfc7edd1b417c1f3,9d356b6e02703d8052487c1ad4b7fc679e77bbf5b69fa552463af9a331fe3161,0.6724137931034483,0.3389830508474576
